69	3054
1	3051
93	3051
80	3055
123	3050
54	3046
33	3048
125	3050
13	3048
55	3054
77	3052
104	3052
99	3048
89	3048
95	3052
88	3053
5	3053
87	3045
16	3053
91	3055
4	3053
20	3049
11	3048
100	3054
18	3052
6	3044
72	3051
48	3050
36	3055
39	3054
8	3045
60	3048
19	3047
35	3058
82	3057
98	3048
47	3051
111	3052
40	3055
90	3048
62	3049
41	3052
79	3047
105	3052
57	3051
7	3061
78	3053
103	3055
114	3050
56	3047
44	3053
50	3050
58	3050
27	3053
110	3051
21	3059
64	3058
115	3046
42	3052
68	3050
122	3048
43	3047
10	3053
38	3052
81	3050
116	3053
108	3051
17	3050
65	3057
75	3045
49	3048
124	3047
119	3048
63	3053
118	3047
120	3049
3	3052
74	3046
29	3056
86	3049
121	3054
52	3042
92	3051
32	3052
14	3054
24	3048
76	3043
61	3050
66	3052
97	3044
126	3052
85	3051
128	3047
53	3055
102	3051
112	3049
113	3050
71	3044
59	3045
67	3061
94	3049
51	3048
107	3058
22	3048
26	3051
101	3056
109	3043
9	3050
15	3055
73	3049
37	3044
28	3049
46	3048
117	3048
83	3053
31	3053
45	3055
12	3053
23	3049
96	3050
106	3057
30	3055
2	3055
84	3053
127	3056
34	3049
25	3052
70	3054
