procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 2586664   7420 4855400    0    0     0     1    0    0  0  0 100  0  0
 0  0      0 2577868   7420 4855440    0    0     0     0 36812 34711  4  7 89  0  0
 0  0      0 2574884   7420 4855440    0    0     0     0 28671 29622  2  5 92  0  0
 1  0      0 2571676   7420 4855440    0    0     0     8 31478 33862  2  6 92  0  0
 0  0      0 2569068   7420 4855440    0    0     0     0 31793 34714  2  5 93  0  0
 0  0      0 2568284   7420 4855440    0    0     0     0 26511 28708  2  5 93  0  0
 1  0      0 2567180   7420 4855440    0    0     0     0 30148 31339  2  6 92  0  0
 0  0      0 2567264   7420 4855440    0    0     0     0 28819 29472  2  5 93  0  0
 0  0      0 2566964   7420 4855440    0    0     0     0 34174 36179  3  6 91  0  0
 0  0      0 2566724   7420 4855440    0    0     0     0 31785 33761  3  6 91  0  0
 1  0      0 2566684   7420 4855440    0    0     0     0 27057 29486  2  5 93  0  0
 0  0      0 2566416   7420 4855444    0    0     0     0 27543 29503  2  5 93  0  0
 1  0      0 2566448   7420 4855444    0    0     0     0 33054 35400  3  6 92  0  0
 0  0      0 2566152   7420 4855444    0    0     0     0 33195 36363  3  6 91  0  0
 0  0      0 2566268   7420 4855452    0    0     0     0 32659 35590  2  6 92  0  0
 0  0      0 2566928   7420 4855456    0    0     0     0 31117 34178  3  6 91  0  0
 0  0      0 2566664   7420 4855456    0    0     0     0 25503 27420  2  5 93  0  0
 1  0      0 2566764   7420 4855456    0    0     0     0 31557 33175  2  6 92  0  0
 2  0      0 2566896   7420 4855456    0    0     0     0 32332 35256  2  6 92  0  0
 0  0      0 2566764   7420 4855456    0    0     0     0 34072 37422  3  6 91  0  0
 0  0      0 2566864   7420 4855456    0    0     0     0 34612 38528  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2566632   7420 4855460    0    0     0     0 29434 32714  3  5 92  0  0
 0  0      0 2564288   7420 4855460    0    0     0     0 29052 31207  2  5 92  0  0
 0  0      0 2564448   7420 4855460    0    0     0     0 32999 35602  3  6 92  0  0
 0  0      0 2564468   7420 4855460    0    0     0   160 31874 34508  3  6 91  0  0
 1  0      0 2564016   7420 4855460    0    0     0     0 31758 34313  3  6 91  0  0
 0  0      0 2564036   7420 4855460    0    0     0     0 30927 33847  2  5 93  0  0
 0  0      0 2563956   7420 4855468    0    0     0     0 26691 29153  2  5 93  0  0
 0  0      0 2563292   7420 4855468    0    0     0     0 31150 32686  3  5 92  0  0
 0  0      0 2563468   7420 4855468    0    0     0     0 33540 35690  3  6 92  0  0
 0  0      0 2563712   7420 4855468    0    0     0     0 34869 38633  3  6 91  0  0
 1  0      0 2563840   7420 4855472    0    0     0     0 29930 32986  3  6 92  0  0
 0  0      0 2539344   7420 4855476    0    0     0     4 28638 31014  4  7 89  0  0
 1  0      0 2539016   7420 4855476    0    0     0     0 28147 29291  3  5 93  0  0
 0  0      0 2539776   7420 4855476    0    0     0    80 29568 31437  2  6 92  0  0
 0  0      0 2539348   7420 4855476    0    0     0     0 34757 38130  3  7 91  0  0
 1  0      0 2539564   7420 4855476    0    0     0     0 30872 33552  3  5 92  0  0
 0  0      0 2539168   7420 4855476    0    0     0     0 30344 33243  2  5 93  0  0
 1  0      0 2539108   7420 4855476    0    0     0     0 26050 28356  2  5 93  0  0
 0  0      0 2539184   7420 4855476    0    0     0     0 35079 36790  3  7 91  0  0
 0  0      0 2539352   7420 4855492    0    0     0     0 30916 33852  3  6 92  0  0
 0  0      0 2538784   7420 4855496    0    0     0     0 26645 28743  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2539184   7420 4855500    0    0     0     0 28779 30894  2  6 92  0  0
 0  0      0 2538792   7420 4855508    0    0     0     0 29280 31547  2  6 92  0  0
 0  0      0 2539408   7420 4855508    0    0     0     0 23347 25528  2  4 94  0  0
 0  0      0 2540192   7420 4855508    0    0     0     0 29514 30690  2  5 93  0  0
 2  0      0 2539712   7420 4855512    0    0     0     0 31526 33861  3  6 91  0  0
 0  0      0 2539620   7420 4855512    0    0     0     0 29809 32062  3  6 92  0  0
 1  0      0 2538692   7420 4855512    0    0     0     0 30889 33345  3  6 91  0  0
 0  0      0 2539104   7420 4855512    0    0     0     0 31808 34592  2  7 91  0  0
 0  0      0 2563200   7420 4855512    0    0     0   268 25528 27942  8  7 85  0  0
 1  0      0 2562976   7420 4855516    0    0     0     0 28002 29412  2  6 92  0  0
 2  0      0 2563184   7420 4855516    0    0     0     0 30964 32390  3  6 91  0  0
 0  0      0 2563180   7420 4855528    0    0     0     0 31584 34058  3  6 91  0  0
 0  0      0 2563068   7420 4855528    0    0     0    90 30871 33823  3  6 91  0  0
 0  0      0 2563456   7420 4855528    0    0     0     0 29935 32913  3  5 92  0  0
 0  0      0 2563332   7420 4855528    0    0     0     0 23464 25158  2  5 93  0  0
 0  0      0 2563024   7420 4855528    0    0     0     0 29046 30746  2  5 93  0  0
 0  0      0 2562820   7420 4855528    0    0     0     0 30627 32510  2  5 94  0  0
 1  0      0 2562492   7420 4855528    0    0     0     4 33256 35686  2  6 93  0  0
 0  0      0 2562500   7420 4855532    0    0     0     0 29849 32646  2  5 93  0  0
 1  0      0 2563056   7420 4855532    0    0     0     0 27496 29458  2  5 93  0  0
 1  0      0 2563348   7420 4855532    0    0     0     0 27425 28931  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2563384   7420 4855532    0    0     0     0 26534 27325  2  5 93  0  0
 1  0      0 2563600   7420 4855536    0    0     0     0 27985 29354  3  5 93  0  0
 0  0      0 2563680   7420 4855544    0    0     0    96 29153 30616  2  5 92  0  0
 1  0      0 2563744   7420 4855544    0    0     0     0 29036 31329  2  6 93  0  0
 1  0      0 2562464   7420 4855544    0    0     0     0 31305 33866  2  5 93  0  0
 3  0      0 2563108   7420 4855544    0    0     0     0 27630 29794  2  5 93  0  0
 0  0      0 2563452   7420 4855544    0    0     0     0 30371 32525  2  5 92  0  0
 1  0      0 2562944   7420 4855544    0    0     0     0 29134 31710  2  5 92  0  0
 0  0      0 2562748   7420 4855544    0    0     0     0 26486 28529  2  5 93  0  0
 0  0      0 2563068   7420 4855544    0    0     0     0 27229 29136  2  5 93  0  0
 0  0      0 2563280   7420 4855544    0    0     0     0 25907 26801  2  5 93  0  0
 0  0      0 2563344   7420 4855548    0    0     0     0 24210 25374  2  5 93  0  0
 1  0      0 2562528   7420 4855552    0    0     0    16 21094 22355  2  4 95  0  0
 2  0      0 2562876   7420 4855552    0    0     0     0 22573 23805  2  4 94  0  0
