ts_ns,query_type,latency_ms
1784293285887403046,select,109.192
1784293286002869131,update,568.804
1784293286680720756,select,80.574
1784293286767212211,update,577.371
1784293287453220934,select,80.297
1784293287539124935,update,569.703
1784293288217646242,select,80.835
1784293288304556438,update,556.703
1784293288970344933,select,106.747
1784293289083193686,update,556.745
1784293289748195094,select,79.381
1784293289833419837,update,584.096
1784293290526536836,select,80.709
1784293290613684869,update,561.979
1784293291284582362,select,80.448
1784293291370968081,update,561.454
1784293292041049538,select,80.711
1784293292127520669,update,556.642
1784293292792894693,select,78.733
1784293292877764550,update,555.448
1784293293542224254,select,78.760
1784293293626760677,update,545.314
1784293294281117208,select,79.968
1784293294367903465,update,594.981
1784293295072544560,select,81.367
1784293295160302049,update,554.467
1784293295823900848,select,80.999
1784293295910821967,update,567.139
1784293296586991755,select,83.497
1784293296676448235,update,569.009
1784293297354686131,select,81.255
1784293297442432769,update,559.104
1784293298110406951,select,80.883
1784293298197463747,update,554.696
1784293298861418581,select,81.216
1784293298949733888,update,558.757
1784293299617307559,select,78.253
1784293299701693110,update,576.923
1784293300388092295,select,79.519
1784293300473997164,update,557.131
1784293301141024129,select,82.687
1784293301230344062,update,559.802
1784293301899595716,select,82.549
1784293301988213264,update,564.124
1784293302661701562,select,79.591
1784293302747571827,update,557.897
1784293303414746216,select,81.387
1784293303502551334,update,557.283
1784293304168879887,select,81.646
1784293304256500588,update,553.521
1784293304919636430,select,80.540
1784293305007522927,update,557.330
1784293305674091147,select,78.967
1784293305759080037,update,555.998
1784293306424082092,select,80.736
1784293306510487812,update,560.525
1784293307180079090,select,80.229
1784293307266650018,update,545.056
1784293307920718587,select,78.888
1784293308005596859,update,557.037
1784293308671735957,select,80.595
1784293308758443915,update,555.612
1784293309422702546,select,80.758
1784293309509414134,update,561.325
1784293310179811050,select,81.991
1784293310268611782,update,556.983
1784293310934952039,select,83.685
1784293311026792951,update,562.451
1784293311699719653,select,78.307
1784293311784185759,update,580.236
1784293312473797328,select,80.044
1784293312559740021,update,551.540
1784293313220393341,select,82.443
1784293313308998530,update,556.479
1784293313974432048,select,81.345
1784293314061982349,update,763.236
1784293314934183962,select,80.396
1784293315020670441,update,562.177
1784293315691451354,select,78.644
1784293315775811603,update,556.063
1784293316441268967,select,79.293
1784293316526543532,update,580.119
1784293317216230041,select,80.896
1784293317303347046,update,551.487
1784293317963487769,select,81.004
1784293318050413847,update,554.852
1784293318713908639,select,82.552
1784293318802514918,update,549.139
1784293319460707164,select,79.767
1784293319546331465,update,554.243
1784293320209726425,select,80.350
1784293320296804459,update,556.474
1784293320961629587,select,79.221
1784293321046699325,update,558.380
1784293321713637948,select,79.510
1784293321798976056,update,558.770
1784293322466432925,select,80.472
1784293322552977243,update,556.419
1784293323218107444,select,78.079
1784293323301944577,update,552.457
1784293323963430784,select,79.659
1784293324048779680,update,549.318
1784293324706545765,select,78.937
1784293324791488543,update,552.145
1784293325452496373,select,79.358
1784293325537557393,update,554.929
1784293326201092229,select,78.301
1784293326285564052,update,558.086
1784293326952536179,select,81.310
1784293327039969850,update,558.667
1784293327707249079,select,76.757
1784293327789977490,update,546.209
1784293328445026799,select,77.270
1784293328528861662,update,558.131
1784293329195766115,select,81.182
1784293329282913532,update,554.115
1784293329945710614,select,81.850
1784293330033942277,update,559.911
1784293330703119592,select,77.155
1784293330786672710,update,558.124
1784293331454279376,select,78.459
1784293331538745979,update,558.098
1784293332205784588,select,79.970
1784293332291797673,update,551.903
1784293332953518384,select,77.633
1784293333037128021,update,552.679
1784293333698969427,select,80.481
1784293333785600961,update,550.797
1784293334445445005,select,81.188
1784293334532822357,update,554.572
1784293335196006086,select,79.473
1784293335281687103,update,544.157
1784293335934485633,select,81.852
1784293336022379863,update,574.932
1784293336707242724,select,80.430
1784293336793703421,update,553.321
1784293337455770266,select,80.894
1784293337542782145,update,555.788
1784293338206759395,select,80.098
1784293338293128554,update,620.881
1784293339023498323,select,79.245
1784293339108431615,update,604.211
1784293339821267158,select,87.124
1784293339914366973,update,579.003
1784293340602310433,select,84.116
1784293340692672540,update,582.575
1784293341383723981,select,82.497
1784293341471802012,update,568.675
1784293342149355784,select,84.625
1784293342239674347,update,565.744
1784293342913780719,select,87.168
1784293343006641454,update,588.311
1784293343703551664,select,84.036
1784293343793852143,update,587.716
1784293344491049638,select,83.626
1784293344580705474,update,582.689
