IDC	idc-driver				
IDC	idc-dbhost-1				
IDC	idc-dbhost-2				
IDC	idc-dbhost-3				
IDC	idc-haproxy	7	0.000004439	Normal	AC13FE07 (172.19.254.7)
GCP	gcp-poc-1				
GCP	gcp-poc-2				
GCP	gcp-poc-3				
GCP	gcp-poc-4				
GCP	gcp-poc-5				
