Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

23時30分10秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時30分11秒        lo      2.00      2.00      0.20      0.20      0.00      0.00      0.00      0.00
23時30分11秒     ens33  24407.00  21723.00   8391.79   8595.30      0.00      0.00      0.00      0.70
23時30分11秒      cni0  11019.00  11665.00   5968.36   5800.15      0.00      0.00      0.00      0.00
23時30分11秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時30分11秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
23時30分11秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
23時30分11秒 veth8c54fcdc     92.00     99.00     36.18     37.86      0.00      0.00      0.00      0.00
23時30分11秒 veth31d8334d   7542.00   8106.00   4748.19   5064.85      0.00      0.00      0.00      0.41
23時30分11秒 veth8017ce2c   4863.00   4935.00   2108.29   1473.54      0.00      0.00      0.00      0.17

23時30分11秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時30分12秒        lo      8.00      8.00      1.12      1.12      0.00      0.00      0.00      0.00
23時30分12秒     ens33  24739.00  22223.00   8797.56   8575.83      0.00      0.00      0.00      0.72
23時30分12秒      cni0  12402.00  12627.00   6226.79   6475.35      0.00      0.00      0.00      0.00
23時30分12秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時30分12秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時30分12秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時30分12秒 veth8c54fcdc     66.00     81.00      7.54      7.70      0.00      0.00      0.00      0.00
23時30分12秒 veth31d8334d   7763.00   7868.00   4556.94   5430.66      0.00      0.00      0.00      0.44
23時30分12秒 veth8017ce2c   6469.00   6572.00   2731.96   1935.82      0.00      0.00      0.00      0.22

