Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月08日 	_x86_64_	(4 CPU)

22時48分02秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22時49分04秒  all   35.52    0.00   11.59    8.06    1.76    7.05    0.00    0.00    0.00   36.02
22時49分05秒  all   34.44    0.00   11.48    8.42    1.79    6.38    0.00    0.00    0.00   37.50
22時49分06秒  all   33.42    0.00   12.13    7.92    1.98    6.19    0.00    0.00    0.00   38.37
22時49分07秒  all   31.27    0.00    9.82    8.79    1.81    6.20    0.00    0.00    0.00   42.12
22時49分08秒  all   36.04    0.00   10.66    9.14    1.52    6.60    0.00    0.00    0.00   36.04
22時49分09秒  all   32.58    0.00   11.62    8.84    1.77    5.81    0.00    0.00    0.00   39.39
22時49分10秒  all   30.25    0.00   11.25    9.25    1.75    5.50    0.00    0.00    0.00   42.00
22時49分11秒  all   32.49    0.00   10.41    9.14    1.52    6.35    0.00    0.00    0.00   40.10
22時49分12秒  all   33.42    0.00   10.47    8.23    2.00    5.74    0.00    0.00    0.00   40.15
22時49分13秒  all   32.14    0.00   10.20    8.67    1.28    5.87    0.00    0.00    0.00   41.84
22時49分14秒  all   30.89    0.00   11.14    9.11    1.77    6.08    0.00    0.00    0.00   41.01
22時49分15秒  all   31.47    0.00   10.91    9.90    2.03    6.35    0.00    0.00    0.00   39.34
22時49分16秒  all   32.32    0.00   10.61    7.83    1.52    5.81    0.00    0.00    0.00   41.92
22時49分17秒  all   36.27    0.00   11.08    9.57    1.76    6.30    0.00    0.00    0.00   35.01
22時49分18秒  all   32.65    0.00   11.73    8.42    2.04    6.12    0.00    0.00    0.00   39.03
22時49分19秒  all   31.71    0.00   10.23    8.95    1.79    5.88    0.00    0.00    0.00   41.43
22時49分20秒  all   30.30    0.00   10.86    9.09    1.26    5.81    0.00    0.00    0.00   42.68
22時49分21秒  all   32.75    0.00   11.00    9.50    1.75    6.25    0.00    0.00    0.00   38.75
22時49分22秒  all   34.94    0.00   10.89    9.37    2.03    6.33    0.00    0.00    0.00   36.46
22時49分23秒  all   33.42    0.00   10.80    8.48    1.54    6.17    0.00    0.00    0.00   39.59
22時49分24秒  all   32.50    0.00   10.50    8.75    1.75    6.00    0.00    0.00    0.00   40.50
22時49分25秒  all   30.27    0.00    9.93    9.18    1.49    5.71    0.00    0.00    0.00   43.42
22時49分26秒  all   33.17    0.00   11.31    8.54    2.01    6.03    0.00    0.00    0.00   38.94
22時49分27秒  all   33.83    0.00   10.53    8.27    1.50    5.76    0.00    0.00    0.00   40.10
22時49分28秒  all   32.49    0.00   11.08    8.56    1.51    5.54    0.00    0.00    0.00   40.81
22時49分29秒  all   31.20    0.00    9.72    9.46    1.53    6.14    0.00    0.00    0.00   41.94
22時49分30秒  all   32.74    0.00   10.15    8.63    1.78    6.09    0.00    0.00    0.00   40.61
22時49分31秒  all   32.16    0.00   10.80    9.55    1.76    5.78    0.00    0.00    0.00   39.95
22時49分32秒  all   34.18    0.00   11.90    8.86    1.52    6.08    0.00    0.00    0.00   37.47
22時49分33秒  all   33.83    0.00   12.03    8.77    2.01    6.52    0.00    0.00    0.00   36.84
22時49分34秒  all   30.89    0.00   11.39    8.61    1.52    6.08    0.00    0.00    0.00   41.52
22時49分35秒  all   31.83    0.00   10.78    8.77    1.75    6.27    0.00    0.00    0.00   40.60
22時49分36秒  all   30.87    0.00   10.97    9.44    1.53    5.61    0.00    0.00    0.00   41.58
22時49分37秒  all   33.00    0.00   11.25    8.75    1.75    6.00    0.00    0.00    0.00   39.25
22時49分38秒  all   34.52    0.00   12.18    9.14    1.52    6.35    0.00    0.00    0.00   36.29
22時49分39秒  all   32.41    0.00   10.30    9.05    1.51    5.53    0.00    0.00    0.00   41.21
22時49分40秒  all   30.96    0.00   10.15    8.88    1.52    5.84    0.00    0.00    0.00   42.64
22時49分41秒  all   32.66    0.00   10.63    9.37    1.77    6.08    0.00    0.00    0.00   39.49
22時49分42秒  all   33.84    0.00    9.92    9.16    1.27    5.85    0.00    0.00    0.00   39.95
22時49分43秒  all   32.15    0.00   10.63    9.11    2.03    6.58    0.00    0.00    0.00   39.49
22時49分44秒  all   37.34    0.00   11.03    7.77    1.25    5.26    0.00    0.00    0.00   37.34
22時49分45秒  all   41.22    0.00   12.72   13.99    1.53    5.85    0.00    0.00    0.00   24.68
22時49分46秒  all   43.39    0.00   10.47   15.46    2.00    5.99    0.00    0.00    0.00   22.69
22時49分47秒  all   41.92    0.00   12.12   14.14    1.26    6.31    0.00    0.00    0.00   24.24
22時49分48秒  all   36.71    0.00   10.63   15.95    1.77    5.82    0.00    0.00    0.00   29.11
22時49分49秒  all   38.48    0.00   13.42   15.70    1.52    6.58    0.00    0.00    0.00   24.30
22時49分50秒  all   38.60    0.00   12.53   15.04    2.01    6.27    0.00    0.00    0.00   25.56
22時49分51秒  all   40.31    0.00   13.52   15.31    1.28    6.38    0.00    0.00    0.00   23.21
22時49分52秒  all   39.44    0.00   13.23   14.25    2.04    6.87    0.00    0.00    0.00   24.17
22時49分53秒  all   39.34    0.00   11.42   15.99    1.52    6.35    0.00    0.00    0.00   25.38
22時49分54秒  all   36.97    0.00   12.16   16.87    1.74    5.71    0.00    0.00    0.00   26.55
22時49分55秒  all   39.59    0.00   12.69   15.99    1.52    6.35    0.00    0.00    0.00   23.86
22時49分56秒  all   39.90    0.00   12.88   15.40    2.27    6.57    0.00    0.00    0.00   22.98
22時49分57秒  all   40.05    0.00   12.24   15.31    1.53    6.38    0.00    0.00    0.00   24.49
22時49分58秒  all   42.39    0.00   13.22   12.97    1.75    6.23    0.00    0.00    0.00   23.44
22時49分59秒  all   41.43    0.00   12.02   17.14    1.79    6.39    0.00    0.00    0.00   21.23
22時50分00秒  all   37.94    0.00   13.32   15.83    1.76    6.28    0.00    0.00    0.00   24.87
22時50分01秒  all   38.99    0.00   11.14   16.20    1.52    6.33    0.00    0.00    0.00   25.82
22時50分02秒  all   42.42    0.00   13.13   13.89    2.02    6.82    0.00    0.00    0.00   21.72
22時50分03秒  all   46.33    0.00   14.43   12.41    1.77    6.84    0.00    0.00    0.00   18.23
22時50分04秒  all   45.27    0.00   14.58   11.00    1.79    6.91    0.00    0.00    0.00   20.46
22時50分05秒  all   48.10    0.00   13.67    9.87    1.77    6.58    0.00    0.00    0.00   20.00
22時50分06秒  all   51.52    0.00   11.68    7.61    1.52    6.35    0.00    0.00    0.00   21.32
22時50分07秒  all   49.87    0.00   12.21    8.14    1.78    6.11    0.00    0.00    0.00   21.88
22時50分08秒  all   52.75    0.00   11.50    7.50    1.75    6.75    0.00    0.00    0.00   19.75
22時50分09秒  all   51.27    0.00   11.42    9.39    1.78    6.60    0.00    0.00    0.00   19.54
22時50分10秒  all   51.26    0.00   10.80    8.04    1.51    5.53    0.00    0.00    0.00   22.86
22時50分11秒  all   51.75    0.00   11.75    9.50    1.50    6.75    0.00    0.00    0.00   18.75
22時50分12秒  all   53.55    0.00   11.68    8.38    1.52    6.35    0.00    0.00    0.00   18.53
22時50分13秒  all   49.74    0.00   11.48    8.42    1.53    6.12    0.00    0.00    0.00   22.70
22時50分14秒  all   49.50    0.00   10.30    8.79    1.76    5.78    0.00    0.00    0.00   23.87
22時50分15秒  all   52.91    0.00   11.14    9.11    1.52    6.08    0.00    0.00    0.00   19.24
22時50分16秒  all   48.87    0.00   12.03    9.52    1.50    6.27    0.00    0.00    0.00   21.80
22時50分17秒  all   54.14    0.00   10.03    8.52    1.75    6.27    0.00    0.00    0.00   19.30
22時50分18秒  all   52.91    0.00   11.65    8.10    1.77    6.58    0.00    0.00    0.00   18.99
22時50分19秒  all   50.51    0.00   11.42    9.90    1.78    6.35    0.00    0.00    0.00   20.05
22時50分20秒  all   52.79    0.00   12.18    4.82    1.02    5.84    0.00    0.00    0.00   23.35
22時50分21秒  all   49.63    0.00   11.72    9.98    1.50    6.48    0.00    0.00    0.00   20.70
22時50分22秒  all   49.24    0.00   10.86    9.09    1.77    6.31    0.00    0.00    0.00   22.73
22時50分23秒  all   46.21    0.00   12.12   10.86    1.77    5.81    0.00    0.00    0.00   23.23
22時50分24秒  all   49.75    0.00   10.61    8.33    1.77    5.81    0.00    0.00    0.00   23.74
22時50分25秒  all   48.87    0.00   10.33    9.82    1.26    5.54    0.00    0.00    0.00   24.18
22時50分26秒  all   41.31    0.00    9.57   13.10    1.76    5.54    0.00    0.00    0.00   28.72
22時50分27秒  all   47.36    0.00   11.84   11.59    1.51    6.80    0.00    0.00    0.00   20.91
22時50分28秒  all   46.63    0.00   11.47   12.72    2.00    6.23    0.00    0.00    0.00   20.95
22時50分29秒  all   43.03    0.00   12.69   13.18    1.74    6.22    0.00    0.00    0.00   23.13
22時50分30秒  all   45.69    0.00   11.17   12.69    1.78    6.35    0.00    0.00    0.00   22.34
22時50分31秒  all   44.33    0.00   11.34   12.34    1.51    6.55    0.00    0.00    0.00   23.93
22時50分32秒  all   46.17    0.00   11.22   12.24    1.53    6.38    0.00    0.00    0.00   22.45
22時50分33秒  all   45.25    0.00   11.00   13.00    1.75    6.25    0.00    0.00    0.00   22.75
22時50分34秒  all   43.03    0.00   10.95   13.18    1.99    5.72    0.00    0.00    0.00   25.12
22時50分35秒  all   43.75    0.00   12.50   13.75    1.50    6.00    0.00    0.00    0.00   22.50
22時50分36秒  all   42.28    0.00   11.14   14.18    1.52    6.33    0.00    0.00    0.00   24.56
22時50分37秒  all   42.13    0.00   11.68   12.18    2.03    6.85    0.00    0.00    0.00   25.13
22時50分38秒  all   42.86    0.00   12.53   12.03    1.75    6.02    0.00    0.00    0.00   24.81
22時50分39秒  all   46.45    0.00   10.91   13.45    1.52    6.60    0.00    0.00    0.00   21.07
22時50分40秒  all   44.64    0.00   11.72   14.96    1.75    5.99    0.00    0.00    0.00   20.95
22時50分41秒  all   44.05    0.00   11.39   12.66    1.77    6.58    0.00    0.00    0.00   23.54
22時50分42秒  all   45.66    0.00   11.73   12.50    1.79    6.89    0.00    0.00    0.00   21.43
22時50分43秒  all   42.21    0.00   10.80   14.57    1.51    5.78    0.00    0.00    0.00   25.13
22時50分44秒  all   42.42    0.00   10.86   14.39    1.77    6.31    0.00    0.00    0.00   24.24
22時50分45秒  all   42.21    0.00   10.55   12.56    1.51    6.03    0.00    0.00    0.00   27.14
22時50分46秒  all   47.76    0.00   12.44   10.45    1.49    5.72    0.00    0.00    0.00   22.14
22時50分47秒  all   53.28    0.00   11.11    5.81    1.77    6.31    0.00    0.00    0.00   21.72
22時50分48秒  all   43.72    0.00   11.31   12.06    1.26    6.03    0.00    0.00    0.00   25.63
22時50分49秒  all   42.82    0.00   11.14   13.12    1.73    5.94    0.00    0.00    0.00   25.25
22時50分50秒  all   43.07    0.00   11.08   14.36    2.02    6.30    0.00    0.00    0.00   23.17
22時50分51秒  all   43.36    0.00   10.78   14.54    1.50    6.02    0.00    0.00    0.00   23.81
22時50分52秒  all   45.43    0.00   10.66   13.71    1.78    6.35    0.00    0.00    0.00   22.08
22時50分53秒  all   46.10    0.00   11.34   10.33    1.76    6.30    0.00    0.00    0.00   24.18
22時50分54秒  all   35.19    0.00   10.89    8.35    1.52    5.32    0.00    0.00    0.00   38.73
22時50分55秒  all   30.90    0.00   10.55   10.30    1.51    6.28    0.00    0.00    0.00   40.45
22時50分56秒  all   31.16    0.00   10.55    9.30    1.76    5.53    0.00    0.00    0.00   41.71
22時50分57秒  all   34.68    0.00   11.14    7.85    1.27    6.08    0.00    0.00    0.00   38.99
22時50分58秒  all   32.92    0.00   10.97    9.23    2.00    6.23    0.00    0.00    0.00   38.65
22時50分59秒  all   36.46    0.00   11.14    8.86    1.52    6.58    0.00    0.00    0.00   35.44
22時51分00秒  all   34.09    0.00   11.78    8.02    1.75    6.52    0.00    0.00    0.00   37.84
22時51分01秒  all   33.17    0.00   10.55    8.54    1.76    6.03    0.00    0.00    0.00   39.95
22時51分02秒  all   35.18    0.00   11.81    7.79    2.01    7.04    0.00    0.00    0.00   36.18
22時51分03秒  all   31.55    0.00   11.70    8.40    1.53    6.11    0.00    0.00    0.00   40.71
22時51分04秒  all   32.74    0.00   10.91    8.38    1.78    6.35    0.00    0.00    0.00   39.85
22時51分05秒  all   35.22    0.00   11.31    9.00    1.54    6.68    0.00    0.00    0.00   36.25
22時51分06秒  all   36.41    0.00   10.47    8.73    2.00    6.23    0.00    0.00    0.00   36.16
22時51分07秒  all   35.43    0.00   10.55    8.29    1.76    6.53    0.00    0.00    0.00   37.44
22時51分08秒  all   32.49    0.00   10.91    7.87    1.78    5.84    0.00    0.00    0.00   41.12
22時51分09秒  all   34.42    0.00   12.06    9.55    1.51    6.28    0.00    0.00    0.00   36.18
22時51分10秒  all   28.28    0.00   10.35    9.85    1.52    5.81    0.00    0.00    0.00   44.19
22時51分11秒  all   28.64    0.00    8.95    8.70    1.79    5.12    0.00    0.00    0.00   46.80
22時51分12秒  all   33.67    0.00   10.89    9.11    1.52    6.58    0.00    0.00    0.00   38.23
22時51分13秒  all   30.26    0.00   10.26    8.97    1.54    6.15    0.00    0.00    0.00   42.82
22時51分14秒  all   28.57    0.00    9.95    9.69    1.53    5.36    0.00    0.00    0.00   44.90
22時51分15秒  all   29.19    0.00    9.90    9.64    1.78    5.84    0.00    0.00    0.00   43.65
22時51分16秒  all   31.50    0.00   10.25    9.25    1.50    5.75    0.00    0.00    0.00   41.75
22時51分17秒  all   32.58    0.00   10.35    9.60    1.52    5.81    0.00    0.00    0.00   40.15
22時51分18秒  all   33.25    0.00   12.66   11.66    1.99    5.96    0.00    0.00    0.00   34.49
22時51分19秒  all   32.39    0.00   10.54    9.25    1.54    6.17    0.00    0.00    0.00   40.10
22時51分20秒  all   32.59    0.00   11.44   10.95    1.74    6.22    0.00    0.00    0.00   37.06
22時51分21秒  all   34.68    0.00   10.63   10.13    1.52    6.08    0.00    0.00    0.00   36.96
22時51分22秒  all   33.42    0.00   10.97    8.42    1.53    6.12    0.00    0.00    0.00   39.54
22時51分23秒  all   33.08    0.00   10.78    8.77    1.75    6.02    0.00    0.00    0.00   39.60
22時51分24秒  all   31.65    0.00   11.14    9.87    2.03    6.08    0.00    0.00    0.00   39.24
22時51分25秒  all   31.99    0.00   10.08    9.32    1.51    6.05    0.00    0.00    0.00   41.06
22時51分26秒  all   31.63    0.00   10.97    9.44    1.53    5.87    0.00    0.00    0.00   40.56
22時51分27秒  all   33.08    0.00    9.67    9.67    1.53    5.85    0.00    0.00    0.00   40.20
22時51分28秒  all   34.67    0.00   11.56    8.04    1.51    6.28    0.00    0.00    0.00   37.94
22時51分29秒  all   34.75    0.00   10.50   10.25    2.00    6.25    0.00    0.00    0.00   36.25
22時51分30秒  all   33.75    0.00   10.58    8.82    1.76    6.05    0.00    0.00    0.00   39.04
22時51分31秒  all   32.65    0.00   11.22    7.91    1.28    5.87    0.00    0.00    0.00   41.07
22時51分32秒  all   34.24    0.00   11.66    8.68    1.99    6.20    0.00    0.00    0.00   37.22
22時51分33秒  all   32.31    0.00   11.03   10.51    1.54    6.41    0.00    0.00    0.00   38.21
22時51分34秒  all   33.50    0.00   10.25    9.75    2.00    5.75    0.00    0.00    0.00   38.75
22時51分35秒  all   32.65    0.00   11.31   10.03    1.54    6.68    0.00    0.00    0.00   37.79
22時51分36秒  all   32.58    0.00   11.28   10.28    1.25    6.02    0.00    0.00    0.00   38.60
22時51分37秒  all   38.23    0.00   12.66    7.85    1.77    6.08    0.00    0.00    0.00   33.42
22時51分38秒  all   34.02    0.00   11.08    9.79    1.80    5.93    0.00    0.00    0.00   37.37
22時51分39秒  all   34.44    0.00   11.48   10.20    1.79    6.38    0.00    0.00    0.00   35.71
22時51分40秒  all   31.98    0.00   10.66   10.15    1.52    6.09    0.00    0.00    0.00   39.59
22時51分41秒  all   31.57    0.00   10.10    8.84    1.52    6.06    0.00    0.00    0.00   41.92
22時51分42秒  all   33.42    0.00   11.81    9.55    2.26    6.28    0.00    0.00    0.00   36.68
22時51分43秒  all   30.87    0.00    9.69    9.18    1.28    5.61    0.00    0.00    0.00   43.37
22時51分44秒  all   30.87    0.00   10.71    9.69    1.79    6.12    0.00    0.00    0.00   40.82
22時51分45秒  all   31.03    0.00   10.51    9.23    1.54    6.41    0.00    0.00    0.00   41.28
22時51分46秒  all   31.12    0.00    9.95    8.93    1.53    5.87    0.00    0.00    0.00   42.60
22時51分47秒  all   34.26    0.00   12.59    9.82    2.02    6.30    0.00    0.00    0.00   35.01
22時51分48秒  all   30.87    0.00    9.44    8.42    1.53    5.36    0.00    0.00    0.00   44.39
22時51分49秒  all   34.34    0.00   10.61    9.09    1.77    6.57    0.00    0.00    0.00   37.63
22時51分50秒  all   31.47    0.00   10.15   10.41    1.52    5.58    0.00    0.00    0.00   40.86
22時51分51秒  all   30.18    0.00   11.25    9.72    1.79    6.65    0.00    0.00    0.00   40.41
22時51分52秒  all   34.18    0.00   10.38    9.37    1.27    5.82    0.00    0.00    0.00   38.99
22時51分53秒  all   33.59    0.00    9.74    9.49    1.79    5.64    0.00    0.00    0.00   39.74
22時51分54秒  all   31.03    0.00   10.51    9.23    1.54    6.41    0.00    0.00    0.00   41.28
22時51分55秒  all   30.89    0.00   10.38    9.37    1.77    5.82    0.00    0.00    0.00   41.77
22時51分56秒  all   31.65    0.00   10.63    9.37    1.52    5.82    0.00    0.00    0.00   41.01
22時51分57秒  all   34.36    0.00   10.26    9.49    1.79    5.90    0.00    0.00    0.00   38.21
22時51分58秒  all   32.41    0.00    9.87    8.86    1.27    6.08    0.00    0.00    0.00   41.52
22時51分59秒  all   32.40    0.00   10.97    9.44    1.79    5.87    0.00    0.00    0.00   39.54
22時52分00秒  all   32.16    0.00   11.31    9.55    1.26    5.78    0.00    0.00    0.00   39.95
22時52分01秒  all   32.24    0.00   10.58    8.31    1.76    6.30    0.00    0.00    0.00   40.81
22時52分02秒  all   40.41    0.00   10.74    7.16    2.05    6.39    0.00    0.00    0.00   33.25
22時52分03秒  all   35.70    0.00   11.39    8.35    1.77    6.84    0.00    0.00    0.00   35.95
22時52分04秒  all   36.52    0.00   11.84    8.31    1.51    6.55    0.00    0.00    0.00   35.26
22時52分05秒  all   34.26    0.00   12.18    7.87    1.52    7.11    0.00    0.00    0.00   37.06
22時52分06秒  all   31.91    0.00   12.06    9.80    2.26    6.03    0.00    0.00    0.00   37.94
22時52分07秒  all   33.16    0.00   10.03    8.23    1.29    5.66    0.00    0.00    0.00   41.65
22時52分08秒  all   35.11    0.00   10.18    8.65    1.78    6.36    0.00    0.00    0.00   37.91
22時52分09秒  all   31.74    0.00   11.84    8.82    2.02    6.05    0.00    0.00    0.00   39.55
22時52分10秒  all   30.13    0.00    9.62    9.87    1.52    5.82    0.00    0.00    0.00   43.04
22時52分11秒  all   30.13    0.00   11.90    8.35    1.27    5.82    0.00    0.00    0.00   42.53
22時52分12秒  all   37.53    0.00   12.34    8.06    1.51    5.54    0.00    0.00    0.00   35.01
22時52分13秒  all   35.79    0.00   11.93   15.99    1.78    6.60    0.00    0.00    0.00   27.92
22時52分14秒  all   32.91    0.00   12.91   18.99    1.52    5.06    0.00    0.00    0.00   28.61
22時52分15秒  all   34.51    0.00   12.59   16.62    1.76    6.55    0.00    0.00    0.00   27.96
22時52分16秒  all   34.85    0.00   12.12   17.93    1.52    6.06    0.00    0.00    0.00   27.53
22時52分17秒  all   35.75    0.00   11.50   16.25    1.75    6.00    0.00    0.00    0.00   28.75
22時52分18秒  all   39.29    0.00   13.10   14.11    1.51    6.05    0.00    0.00    0.00   25.94
22時52分19秒  all   37.56    0.00   13.18   15.92    1.99    6.22    0.00    0.00    0.00   25.12
22時52分20秒  all   34.87    0.00   11.54   16.15    1.79    6.41    0.00    0.00    0.00   29.23
22時52分21秒  all   35.70    0.00   12.15   18.23    1.27    5.82    0.00    0.00    0.00   26.84
22時52分22秒  all   34.92    0.00   12.56   17.59    2.01    6.03    0.00    0.00    0.00   26.88
22時52分23秒  all   35.86    0.00   11.87   17.42    1.52    6.31    0.00    0.00    0.00   27.02
22時52分24秒  all   32.23    0.00   12.53   17.65    1.53    5.88    0.00    0.00    0.00   30.18
22時52分25秒  all   33.59    0.00   12.63   20.20    1.77    5.81    0.00    0.00    0.00   26.01
22時52分26秒  all   39.09    0.00   11.93   14.97    1.52    5.84    0.00    0.00    0.00   26.65
22時52分27秒  all   39.14    0.00   12.37   16.67    2.02    6.31    0.00    0.00    0.00   23.48
22時52分28秒  all   35.52    0.00   11.84   16.12    1.51    6.05    0.00    0.00    0.00   28.97
22時52分29秒  all   39.39    0.00   14.14   15.15    1.77    6.57    0.00    0.00    0.00   22.98
22時52分30秒  all   40.05    0.00   12.24   14.29    2.04    6.63    0.00    0.00    0.00   24.74
22時52分31秒  all   40.80    0.00   11.69   14.93    1.74    5.97    0.00    0.00    0.00   24.88
22時52分32秒  all   41.73    0.00   11.96   13.49    2.04    6.11    0.00    0.00    0.00   24.68
22時52分33秒  all   37.44    0.00   12.81   15.83    1.26    6.53    0.00    0.00    0.00   26.13
22時52分34秒  all   37.88    0.00   12.37   15.91    1.77    6.06    0.00    0.00    0.00   26.01
22時52分35秒  all   41.07    0.00   12.24   15.31    1.79    5.87    0.00    0.00    0.00   23.72
22時52分36秒  all   37.18    0.00   10.51   16.92    1.28    5.64    0.00    0.00    0.00   28.46
22時52分37秒  all   40.76    0.00   11.65   14.68    1.77    6.08    0.00    0.00    0.00   25.06
