procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1131792   5796 6365600    0    0     0    36 26147 27787  2  5 93  0  0
 0  0   2560 1131660   5796 6365600    0    0     0     0 25828 27225  3  6 92  0  0
 0  0   2560 1131236   5796 6365600    0    0     0     0 25252 26289  2  6 92  0  0
 1  0   2560 1131312   5796 6365600    0    0     0     0 27615 29330  3  6 91  0  0
 0  0   2560 1131388   5796 6365600    0    0     0     0 26477 28259  2  5 92  0  0
 0  0   2560 1131740   5796 6365600    0    0     0    16 26043 27695  2  4 94  0  0
 0  0   2560 1131796   5796 6365600    0    0     0     0 27549 29273  2  5 93  0  0
 4  0   2560 1107560   5796 6365604    0    0     0     4 27234 28624  4  5 91  0  0
 0  0   2560 1106828   5796 6365608    0    0     0     0 27848 29293  3  5 92  0  0
 0  0   2560 1106852   5796 6365608    0    0     0     0 24442 26429  2  5 93  0  0
 1  0   2560 1106888   5796 6365608    0    0     0     0 27278 29133  2  5 93  0  0
 0  0   2560 1107116   5796 6365616    0    0     0     0 27183 28515  2  5 92  0  0
 0  0   2560 1107292   5796 6365616    0    0     0     0 26152 27709  3  6 91  0  0
 1  0   2560 1106888   5796 6365620    0    0     0     0 25230 26968  3  4 93  0  0
 0  0   2560 1106824   5796 6365624    0    0     0     0 26220 28007  2  5 93  0  0
 1  0   2560 1107904   5796 6365624    0    0     0     0 26268 27963  2  4 94  0  0
 2  0   2560 1108728   5796 6365624    0    0     0     0 24415 26236  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 1108324   5796 6365624    0    0     0     0 28059 29913  2  5 93  0  0
 2  0   2560 1108100   5796 6365628    0    0     0     0 27968 29354  3  6 91  0  0
 0  0   2560 1108252   5796 6365628    0    0     0     0 28207 29812  2  6 92  0  0
 1  0   2560 1108264   5796 6365632    0    0     0    74 25677 27255  3  5 93  0  0
 4  0   2560 1108300   5796 6365636    0    0     0     0 27395 29009  3  6 92  0  0
 0  0   2560 1108276   5796 6365640    0    0     0     0 26257 27467  3  6 91  0  0
 0  0   2560 1108404   5796 6365640    0    0     0     0 27070 28270  3  6 92  0  0
 2  0   2560 1108204   5796 6365656    0    0     0     0 26446 28338  2  5 92  0  0
 0  0   2560 1107432   5796 6365656    0    0     0     4 27350 28869  3  5 92  0  0
 1  0   2560 1131516   5796 6365656    0    0     0   268 26171 27638  8  7 86  0  0
 2  0   2560 1131680   5796 6365656    0    0     0     0 25490 27067  2  5 93  0  0
 1  0   2560 1131936   5796 6365660    0    0     0     0 28282 30100  3  6 92  0  0
 0  0   2560 1132088   5796 6365660    0    0     0     0 26035 27951  3  5 92  0  0
 0  0   2560 1131896   5796 6365660    0    0     0     0 25924 27689  2  5 93  0  0
 0  0   2560 1132068   5796 6365660    0    0     0    96 26301 27916  2  6 92  0  0
 0  0   2560 1132492   5796 6365660    0    0     0     0 28082 29666  3  6 91  0  0
 1  0   2560 1132520   5796 6365660    0    0     0     0 26152 27860  3  5 92  0  0
 0  0   2560 1132284   5796 6365660    0    0     0     0 27277 28870  3  5 92  0  0
 1  0   2560 1131804   5796 6365660    0    0     0     0 27390 29195  2  5 93  0  0
 0  0   2560 1131872   5796 6365664    0    0     0     0 28908 30884  3  6 92  0  0
 1  0   2560 1131780   5796 6365668    0    0     0     0 26489 28274  3  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 1131472   5796 6365672    0    0     0     0 24817 26423  2  5 93  0  0
 0  0   2560 1130900   5796 6365676    0    0     0     0 22243 24286  2  4 94  0  0
 1  0   2560 1131240   5796 6365676    0    0     0     0 22838 25060  2  4 94  0  0
 0  0   2560 1131580   5796 6365676    0    0     0     8 25791 27133  2  5 93  0  0
 1  0   2560 1131748   5796 6365676    0    0     0     0 25158 26504  3  5 93  0  0
 2  0   2560 1131312   5796 6365676    0    0     0     0 24746 26389  2  5 93  0  0
 1  0   2560 1131064   5796 6365676    0    0     0     0 27784 29211  3  5 92  0  0
 0  0   2560 1130988   5796 6365676    0    0     0     0 25708 27126  2  5 93  0  0
 1  0   2560 1131388   5796 6365676    0    0     0    16 27024 28708  2  5 93  0  0
 3  0   2560 1131344   5796 6365676    0    0     0     0 26499 28198  2  5 93  0  0
 0  0   2560 1131312   5796 6365676    0    0     0     0 27247 28676  3  6 92  0  0
 1  0   2560 1131356   5796 6365680    0    0     0     0 26856 28520  3  5 92  0  0
 0  0   2560 1131468   5796 6365688    0    0     0    38 25518 27021  3  5 93  0  0
 0  0   2560 1131644   5796 6365688    0    0     0     0 26619 28008  3  6 92  0  0
 1  0   2560 1131716   5796 6365692    0    0     0     0 26157 27912  3  6 92  0  0
 1  0   2560 1132032   5796 6365692    0    0     0     0 26601 28580  3  5 93  0  0
 0  0   2560 1132152   5796 6365700    0    0     0     0 24942 26759  3  5 92  0  0
 1  0   2560 1132348   5796 6365700    0    0     0     0 22876 25066  2  4 94  0  0
 0  0   2560 1132088   5796 6365700    0    0     0    40 30451 32301  2  5 93  0  0
 1  0   2560 1132004   5796 6365700    0    0     0     0 26260 27791  3  5 93  0  0
 1  0   2560 1131344   5796 6365700    0    0     0     0 27182 29095  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1131588   5796 6365700    0    0     0     0 27412 29107  2  5 93  0  0
 0  0   2560 1131292   5796 6365704    0    0     0     0 26792 28662  2  5 93  0  0
 3  0   2560 1131168   5796 6365704    0    0     0    40 27968 29816  3  6 92  0  0
 1  0   2560 1131480   5796 6365704    0    0     0     0 23439 24810  2  6 91  0  0
 0  0   2560 1131336   5796 6365712    0    0     0     0 28038 29945  3  5 92  0  0
 0  0   2560 1131156   5796 6365720    0    0     0     0 26463 28750  3  5 92  0  0
 0  0   2560 1131048   5796 6365724    0    0     0     0 26547 28317  3  6 91  0  0
 0  0   2560 1131380   5796 6365732    0    0     0    44 24528 25822  2  6 92  0  0
 0  0   2560 1106936   5796 6365732    0    0     0     4 23055 24026  5  6 90  0  0
 1  0   2560 1107224   5796 6365732    0    0     0     0 27372 28191  3  5 92  0  0
 0  0   2560 1106904   5796 6365732    0    0     0     0 25263 27080  3  5 93  0  0
 0  0   2560 1107360   5796 6365736    0    0     0     0 26814 29099  3  5 92  0  0
 1  0   2560 1107260   5796 6365736    0    0     0     0 27643 29028  3  6 92  0  0
 0  0   2560 1107384   5796 6365736    0    0     0     0 25045 26519  3  6 92  0  0
 1  0   2560 1107276   5796 6365736    0    0     0     0 26735 28616  3  6 91  0  0
 0  0   2560 1106960   5796 6365740    0    0     0     0 24250 25922  3  5 92  0  0
 1  0   2560 1107280   5796 6365744    0    0     0     0 27282 29427  2  5 93  0  0
 0  0   2560 1107292   5796 6365744    0    0     0     0 26921 28741  2  6 92  0  0
 0  0   2560 1107252   5796 6365744    0    0     0     0 27141 28798  3  5 92  0  0
 0  0   2560 1107704   5796 6365744    0    0     0     0 23985 25512  2  5 92  0  0
