95	3037
123	3033
11	3033
99	3030
69	3033
87	3031
80	3041
55	3037
89	3037
77	3041
1	3033
20	3035
13	3035
16	3039
91	3033
54	3034
104	3036
5	3041
33	3032
88	3036
100	3038
125	3037
4	3036
93	3038
14	3038
52	3028
66	3037
118	3033
53	3038
24	3036
102	3038
76	3035
61	3036
126	3038
85	3035
32	3035
3	3041
29	3038
86	3031
121	3038
97	3031
92	3032
128	3035
112	3036
120	3036
74	3029
18	3035
72	3035
57	3037
40	3038
90	3028
39	3031
8	3037
98	3030
105	3033
36	3037
111	3032
35	3037
6	3033
79	3033
47	3032
48	3037
19	3039
62	3029
41	3036
60	3032
82	3037
7	3040
78	3038
42	3034
63	3039
44	3042
38	3033
122	3032
64	3037
114	3035
27	3034
81	3039
10	3040
124	3032
65	3035
49	3033
68	3030
17	3034
21	3038
115	3032
75	3031
56	3030
116	3039
108	3031
103	3038
119	3032
110	3036
50	3035
58	3040
43	3035
23	3033
70	3038
26	3030
117	3037
94	3032
31	3037
101	3038
106	3042
46	3034
127	3041
59	3036
22	3030
83	3037
73	3036
113	3036
28	3031
67	3043
71	3033
51	3034
25	3036
96	3035
45	3037
12	3038
30	3033
15	3036
107	3045
34	3033
37	3029
2	3037
109	3033
84	3033
9	3037
