Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

23時51分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時51分15秒        lo     23.00     23.00      3.73      3.73      0.00      0.00      0.00      0.00
23時51分15秒     ens33  27485.00  24861.00   9360.87  10769.86      0.00      0.00      0.00      0.88
23時51分15秒      cni0  12000.00  12504.00   7289.21   5909.03      0.00      0.00      0.00      0.00
23時51分15秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時51分15秒 veth854270a4     20.00     22.00      5.20      2.25      0.00      0.00      0.00      0.00
23時51分15秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
23時51分15秒 veth8c54fcdc    270.00    295.00     30.49     45.58      0.00      0.00      0.00      0.00
23時51分15秒 veth31d8334d   7548.00   7814.00   5801.37   5190.74      0.00      0.00      0.00      0.48
23時51分15秒 veth8017ce2c   5962.00   6173.00   2669.52   1724.32      0.00      0.00      0.00      0.22

23時51分15秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時51分16秒        lo      4.00      4.00      0.42      0.42      0.00      0.00      0.00      0.00
23時51分16秒     ens33  26806.00  24778.00   9504.77  10986.21      0.00      0.00      0.00      0.90
23時51分16秒      cni0  12038.00  11649.00   7986.58   6515.85      0.00      0.00      0.00      0.00
23時51分16秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時51分16秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時51分16秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時51分16秒 veth8c54fcdc    108.00    116.00     12.11     18.56      0.00      0.00      0.00      0.00
23時51分16秒 veth31d8334d   8654.00   8093.00   6917.85   5908.93      0.00      0.00      0.00      0.57
23時51分16秒 veth8017ce2c   4873.00   5037.00   2233.90   1601.05      0.00      0.00      0.00      0.18

23時51分16秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時51分17秒        lo     26.00     26.00      4.52      4.52      0.00      0.00      0.00      0.00
23時51分17秒     ens33  27529.00  25342.00   9753.93   9951.15      0.00      0.00      0.00      0.82
23時51分17秒      cni0  14296.00  13892.00   7262.65   7094.29      0.00      0.00      1.00      0.00
23時51分17秒 vethbdca3de6      0.00      1.00      0.00      0.07      0.00      0.00      0.00      0.00
23時51分17秒 veth854270a4     11.00     15.00      3.34      1.64      0.00      0.00      0.00      0.00
23時51分17秒 veth0c9b2fa5     30.00     30.00      5.91      3.76      0.00      0.00      0.00      0.00
23時51分17秒 veth8c54fcdc    103.00    116.00     11.70     13.06      0.00      0.00      0.00      0.00
23時51分17秒 veth31d8334d   8516.00   7772.00   5212.69   5952.61      0.00      0.00      0.00      0.49
23時51分17秒 veth8017ce2c   7871.00   8199.00   3383.81   2282.89      0.00      0.00      0.00      0.28

23時51分17秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時51分18秒        lo     32.00     32.00     10.83     10.83      0.00      0.00      0.00      0.00
23時51分18秒     ens33  27805.00  25438.00  10066.50  10382.78      0.00      0.00      0.00      0.85
23時51分18秒      cni0  14517.00  14086.00   7776.47   7482.76      0.00      0.00      0.00      0.00
23時51分18秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時51分18秒 veth854270a4      1.00      1.00      0.06      0.20      0.00      0.00      0.00      0.00
23時51分18秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
23時51分18秒 veth8c54fcdc     88.00     92.00     14.09     14.51      0.00      0.00      0.00      0.00
23時51分18秒 veth31d8334d   8553.00   7773.00   5701.15   6265.04      0.00      0.00      0.00      0.51
23時51分18秒 veth8017ce2c   8172.00   8517.00   3591.01   2534.91      0.00      0.00      0.00      0.29

23時51分18秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時51分19秒        lo     27.72     27.72      4.02      4.02      0.00      0.00      0.00      0.00
23時51分19秒     ens33  29681.19  27129.70  10744.69  11325.16      0.00      0.00      0.00      0.93
