2026/06/21 08:13:02 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 142, TPM: 876.1, Sum(ms): 1705.8, Avg(ms): 12.0, 50th(ms): 11.5, 90th(ms): 16.3, 95th(ms): 19.9, 99th(ms): 25.2, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1601, TPM: 9607.6, Sum(ms): 60963.5, Avg(ms): 38.1, 50th(ms): 32.5, 90th(ms): 71.3, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 121.6, Max(ms): 130.0
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 164, TPM: 985.8, Sum(ms): 2284.2, Avg(ms): 13.9, 50th(ms): 13.1, 90th(ms): 18.9, 95th(ms): 21.0, 99th(ms): 24.1, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] DELIVERY - Takes(s): 9.9, Count: 140, TPM: 845.3, Sum(ms): 14058.7, Avg(ms): 100.3, 50th(ms): 88.1, 90th(ms): 151.0, 95th(ms): 176.2, 99th(ms): 184.5, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1689, TPM: 10145.7, Sum(ms): 77062.1, Avg(ms): 45.6, 50th(ms): 41.9, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 134.2, Max(ms): 151.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 155, TPM: 934.0, Sum(ms): 1906.5, Avg(ms): 12.3, 50th(ms): 12.6, 90th(ms): 17.8, 95th(ms): 17.8, 99th(ms): 19.9, 99.9th(ms): 19.9, Max(ms): 19.9
[Current] PAYMENT - Takes(s): 10.0, Count: 1599, TPM: 9594.6, Sum(ms): 63591.6, Avg(ms): 39.8, 50th(ms): 33.6, 90th(ms): 71.3, 95th(ms): 88.1, 99th(ms): 121.6, 99.9th(ms): 167.8, Max(ms): 192.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 153, TPM: 919.0, Sum(ms): 2132.2, Avg(ms): 13.9, 50th(ms): 13.6, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 23.1, 99.9th(ms): 27.3, Max(ms): 27.3
[Current] DELIVERY - Takes(s): 10.0, Count: 153, TPM: 919.5, Sum(ms): 16231.5, Avg(ms): 106.5, 50th(ms): 92.3, 90th(ms): 167.8, 95th(ms): 201.3, 99th(ms): 243.3, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1633, TPM: 9818.6, Sum(ms): 74775.1, Avg(ms): 45.8, 50th(ms): 41.9, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 151.0, Max(ms): 159.4
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 158, TPM: 950.0, Sum(ms): 2002.7, Avg(ms): 12.7, 50th(ms): 12.6, 90th(ms): 17.8, 95th(ms): 18.9, 99th(ms): 23.1, 99.9th(ms): 26.2, Max(ms): 26.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1614, TPM: 9690.1, Sum(ms): 63569.9, Avg(ms): 39.4, 50th(ms): 35.7, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 151.0, Max(ms): 167.8
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 146, TPM: 880.3, Sum(ms): 2154.9, Avg(ms): 14.8, 50th(ms): 14.2, 90th(ms): 18.9, 95th(ms): 21.0, 99th(ms): 28.3, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] DELIVERY - Takes(s): 10.0, Count: 155, TPM: 931.5, Sum(ms): 17620.2, Avg(ms): 113.8, 50th(ms): 92.3, 90th(ms): 176.2, 95th(ms): 234.9, 99th(ms): 318.8, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1656, TPM: 9941.3, Sum(ms): 75070.2, Avg(ms): 45.3, 50th(ms): 41.9, 90th(ms): 67.1, 95th(ms): 79.7, 99th(ms): 113.2, 99.9th(ms): 134.2, Max(ms): 159.4
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 133, TPM: 800.0, Sum(ms): 1606.7, Avg(ms): 12.1, 50th(ms): 12.1, 90th(ms): 16.3, 95th(ms): 17.8, 99th(ms): 21.0, 99.9th(ms): 24.1, Max(ms): 24.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1640, TPM: 9840.4, Sum(ms): 62964.8, Avg(ms): 38.4, 50th(ms): 33.6, 90th(ms): 67.1, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 130.0, Max(ms): 142.6
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 130, TPM: 782.6, Sum(ms): 1836.6, Avg(ms): 14.2, 50th(ms): 13.6, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 25.2, 99.9th(ms): 26.2, Max(ms): 26.2
[Current] DELIVERY - Takes(s): 10.0, Count: 155, TPM: 931.6, Sum(ms): 15866.0, Avg(ms): 102.5, 50th(ms): 92.3, 90th(ms): 159.4, 95th(ms): 167.8, 99th(ms): 201.3, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1709, TPM: 10269.0, Sum(ms): 78708.9, Avg(ms): 46.1, 50th(ms): 41.9, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 109.1, 99.9th(ms): 130.0, Max(ms): 151.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 164, TPM: 996.7, Sum(ms): 2072.4, Avg(ms): 12.7, 50th(ms): 12.6, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 22.0, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1578, TPM: 9472.7, Sum(ms): 60034.6, Avg(ms): 38.1, 50th(ms): 33.6, 90th(ms): 67.1, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 142.6, Max(ms): 159.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 150, TPM: 900.8, Sum(ms): 2191.0, Avg(ms): 14.6, 50th(ms): 14.2, 90th(ms): 18.9, 95th(ms): 21.0, 99th(ms): 26.2, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] DELIVERY - Takes(s): 9.9, Count: 139, TPM: 838.8, Sum(ms): 14831.7, Avg(ms): 106.6, 50th(ms): 92.3, 90th(ms): 159.4, 95th(ms): 192.9, 99th(ms): 243.3, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1705, TPM: 10237.8, Sum(ms): 78540.5, Avg(ms): 46.1, 50th(ms): 41.9, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 109.1, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 149, TPM: 899.8, Sum(ms): 1905.0, Avg(ms): 12.8, 50th(ms): 12.6, 90th(ms): 17.8, 95th(ms): 21.0, 99th(ms): 27.3, 99.9th(ms): 27.3, Max(ms): 27.3
