o_w_id	max
1	3016
2	3013
3	3013
4	3014
5	3014
6	3014
7	3017
8	3014
9	3011
10	3014
11	3018
12	3017
13	3017
14	3013
15	3017
16	3015
17	3012
18	3017
19	3020
20	3015
21	3015
22	3012
23	3015
24	3015
25	3017
26	3017
27	3012
28	3014
29	3016
30	3017
31	3014
32	3012
33	3016
34	3017
35	3016
36	3014
37	3013
38	3017
39	3021
40	3016
41	3013
42	3015
43	3016
44	3020
45	3015
46	3015
47	3018
48	3012
49	3015
50	3012
51	3014
52	3018
53	3014
54	3011
55	3021
56	3020
57	3014
58	3011
59	3015
60	3016
61	3014
62	3014
63	3016
64	3017
65	3015
66	3015
67	3016
68	3018
69	3014
70	3013
71	3016
72	3012
73	3016
74	3015
75	3016
76	3016
77	3016
78	3016
79	3014
80	3015
81	3016
82	3016
83	3016
84	3017
85	3019
86	3013
87	3014
88	3016
89	3016
90	3016
91	3013
92	3011
93	3016
94	3013
95	3016
96	3013
97	3016
98	3015
99	3013
100	3016
101	3015
102	3017
103	3016
104	3013
105	3012
106	3019
107	3014
108	3015
109	3016
110	3015
111	3014
112	3014
113	3017
114	3014
115	3014
116	3011
117	3014
118	3016
119	3015
120	3013
121	3015
122	3014
123	3016
124	3015
125	3012
126	3015
127	3014
128	3014
NOTICE: No license is installed. Throttling will begin after 2026-08-15 11:59:59 +0000 UTC unless a license is installed before then.
