o_w_id	max
1	3017
2	3014
3	3013
4	3018
5	3014
6	3015
7	3017
8	3015
9	3014
10	3015
11	3019
12	3018
13	3017
14	3013
15	3019
16	3016
17	3012
18	3018
19	3020
20	3017
21	3015
22	3014
23	3015
24	3015
25	3017
26	3017
27	3012
28	3016
29	3016
30	3017
31	3016
32	3013
33	3016
34	3017
35	3017
36	3019
37	3013
38	3018
39	3023
40	3017
41	3013
42	3015
43	3017
44	3020
45	3016
46	3017
47	3018
48	3013
49	3016
50	3014
51	3016
52	3018
53	3015
54	3012
55	3022
56	3022
57	3015
58	3012
59	3015
60	3017
61	3016
62	3016
63	3018
64	3017
65	3016
66	3015
67	3017
68	3018
69	3017
70	3015
71	3017
72	3013
73	3016
74	3017
75	3018
76	3016
77	3018
78	3017
79	3014
80	3017
81	3017
82	3019
83	3016
84	3018
85	3020
86	3013
87	3016
88	3019
89	3019
90	3017
91	3014
92	3012
93	3016
94	3014
95	3016
96	3015
97	3016
98	3016
99	3014
100	3017
101	3016
102	3017
103	3016
104	3014
105	3012
106	3021
107	3014
108	3016
109	3017
110	3015
111	3014
112	3015
113	3019
114	3018
115	3014
116	3012
117	3014
118	3017
119	3017
120	3015
121	3015
122	3016
123	3018
124	3015
125	3014
126	3016
127	3015
128	3014
NOTICE: No license is installed. Throttling will begin after 2026-08-15 11:59:59 +0000 UTC unless a license is installed before then.
