Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月19日 	_x86_64_	(4 CPU)

05時00分45秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05時00分46秒  all    7.89    0.00    7.12   18.32    1.02    1.53    0.00    0.00    0.00   64.12
05時00分47秒  all   14.50    0.00   13.49   31.30    1.78    2.29    0.00    0.00    0.00   36.64
05時00分48秒  all   13.76    0.00   11.64   28.04    1.85    2.65    0.00    0.00    0.00   42.06
05時00分49秒  all   13.28    0.00   12.24   27.08    1.56    2.08    0.00    0.00    0.00   43.75
05時00分50秒  all   17.09    0.00    9.69   18.88    1.28    1.79    0.00    0.00    0.00   51.28
05時00分51秒  all   15.90    0.00   11.79   22.82    1.54    2.56    0.00    0.00    0.00   45.38
05時00分52秒  all   14.95    0.00   12.89   25.77    1.55    2.58    0.00    0.00    0.00   42.27
05時00分53秒  all   15.09    0.00   13.04   26.85    2.30    2.30    0.00    0.00    0.00   40.41
05時00分54秒  all   15.00    0.00   12.37   26.32    1.58    2.37    0.00    0.00    0.00   42.37
05時00分55秒  all   14.73    0.00   13.18   28.68    1.55    2.58    0.00    0.00    0.00   39.28
05時00分56秒  all   17.10    0.00   10.88   27.46    1.55    2.59    0.00    0.00    0.00   40.41
05時00分57秒  all   14.99    0.00   14.21   25.58    2.07    2.58    0.00    0.00    0.00   40.57
05時00分58秒  all   15.05    0.00   13.78   24.74    1.79    2.30    0.00    0.00    0.00   42.35
05時00分59秒  all   14.36    0.00   13.08   22.05    2.31    2.56    0.00    0.00    0.00   45.64
05時01分00秒  all   16.71    0.00   12.79   24.28    1.57    2.87    0.00    0.00    0.00   41.78
05時01分01秒  all   15.06    0.00   13.25   25.97    1.82    2.60    0.00    0.00    0.00   41.30
05時01分02秒  all   14.92    0.00   12.04   27.75    1.57    2.62    0.00    0.00    0.00   41.10
05時01分03秒  all   16.20    0.00   14.91   25.96    2.31    2.83    0.00    0.00    0.00   37.79
05時01分04秒  all   14.10    0.00   11.44   26.60    1.86    2.66    0.00    0.00    0.00   43.35
05時01分05秒  all   15.80    0.00   12.44   24.09    1.55    2.33    0.00    0.00    0.00   43.78
05時01分06秒  all   14.14    0.00   12.30   24.87    1.57    2.36    0.00    0.00    0.00   44.76
05時01分07秒  all   14.66    0.00   12.30   26.44    1.83    2.62    0.00    0.00    0.00   42.15
05時01分08秒  all   16.03    0.00   14.50   23.66    1.78    2.29    0.00    0.00    0.00   41.73
05時01分09秒  all   16.97    0.00   13.84   21.67    2.35    2.87    0.00    0.00    0.00   42.30
05時01分10秒  all   17.46    0.00   14.29   23.02    1.59    2.91    0.00    0.00    0.00   40.74
05時01分11秒  all   17.88    0.00   13.73   23.83    2.07    2.85    0.00    0.00    0.00   39.64
05時01分12秒  all   17.45    0.00   13.54   21.88    2.08    2.86    0.00    0.00    0.00   42.19
05時01分13秒  all   16.67    0.00   15.08   22.49    2.12    2.65    0.00    0.00    0.00   41.01
05時01分14秒  all   15.84    0.00   13.51   24.16    1.56    2.86    0.00    0.00    0.00   42.08
05時01分15秒  all   14.47    0.00   13.68   22.63    1.84    2.63    0.00    0.00    0.00   44.74
05時01分16秒  all   14.72    0.00   12.69   21.07    2.03    2.28    0.00    0.00    0.00   47.21
05時01分17秒  all   15.49    0.00   13.12   23.10    1.84    2.62    0.00    0.00    0.00   43.83
