ts_ns,query_type,latency_ms
1783029306151571052,update,9.575
1783029306266140431,select,7.780
1783029306277048439,update,9.340
1783029306391960851,select,7.262
1783029306402410497,update,9.407
1783029306516442894,select,8.348
1783029306527875962,update,8.262
1783029306641897518,select,7.850
1783029306653181603,update,8.398
1783029306766459239,select,9.319
1783029306779576782,update,9.112
1783029306893767792,select,7.414
1783029306904188622,update,9.238
1783029307017876011,select,8.604
1783029307030209263,update,8.216
1783029307144426993,select,7.999
1783029307156144338,update,8.509
1783029307269748547,select,7.386
1783029307280180233,update,8.467
1783029307394609413,select,9.180
1783029307407497659,update,9.823
1783029307522476471,select,7.776
1783029307533909653,update,10.570
1783029307649055528,select,7.073
1783029307659573594,update,8.153
1783029307772443660,select,7.019
1783029307782475698,update,8.179
1783029307897664605,select,8.009
1783029307909047905,update,9.392
1783029308023421645,select,6.918
1783029308034245493,update,9.641
1783029308148853842,select,10.219
1783029308162876115,update,9.666
1783029308277987349,select,8.019
1783029308290165321,update,9.846
1783029308405589907,select,8.024
1783029308416884819,update,8.270
1783029308530283287,select,7.201
1783029308540727440,update,8.783
1783029308654323088,select,8.613
1783029308667115977,update,8.249
1783029308781048461,select,6.913
1783029308791599771,update,9.932
1783029308907688615,select,7.783
1783029308919114940,update,11.017
1783029309035563154,select,8.957
1783029309048319093,update,9.732
1783029309163109180,select,7.900
1783029309175016264,update,8.741
1783029309289685192,select,7.500
1783029309300462541,update,8.643
1783029309414482630,select,8.435
1783029309426208231,update,9.421
1783029309540578122,select,8.474
1783029309553029366,update,8.535
1783029309666241102,select,7.671
1783029309677220068,update,11.017
1783029309793392205,select,7.160
1783029309804651037,update,8.453
1783029309917885930,select,7.261
1783029309928437716,update,9.559
1783029310043526777,select,8.425
1783029310055117105,update,8.982
1783029310169000514,select,7.378
1783029310179923507,update,8.778
1783029310293675362,select,7.360
1783029310304746966,update,10.469
1783029310420371856,select,7.987
1783029310432590385,update,8.460
1783029310545963335,select,7.309
1783029310556608306,update,9.049
1783029310670214784,select,8.504
1783029310681872921,update,9.474
1783029310796677823,select,7.402
1783029310807291266,update,9.820
1783029310921568363,select,6.965
1783029310931935219,update,7.872
1783029311044267439,select,7.966
1783029311055382475,update,8.736
1783029311169913752,select,7.565
1783029311182159347,update,10.009
1783029311297182598,select,7.435
1783029311307726933,update,8.324
1783029311422493267,select,8.181
1783029311433958260,update,9.114
1783029311547963536,select,7.690
1783029311559268031,update,8.890
1783029311672817814,select,7.495
1783029311683534694,update,9.902
1783029311798310848,select,7.086
1783029311809046716,update,9.441
1783029311923447830,select,8.070
1783029311934487808,update,8.850
1783029312050079577,select,6.966
1783029312061253995,update,8.528
1783029312174216015,select,7.444
1783029312186003235,update,9.309
1783029312300780888,select,7.466
1783029312311592841,update,8.762
1783029312424947742,select,7.321
1783029312435552970,update,9.209
1783029312549555265,select,7.160
1783029312559742041,update,7.955
1783029312672533750,select,7.681
1783029312683447506,update,8.768
1783029312797721741,select,7.447
1783029312809405632,update,9.212
1783029312923418843,select,8.708
1783029312936934240,update,8.893
1783029313050688114,select,7.420
1783029313062323291,update,10.293
1783029313179217833,select,7.477
1783029313190269220,update,9.230
1783029313305964908,select,7.956
1783029313317707298,update,9.629
1783029313432300499,select,7.223
1783029313442916956,update,10.440
1783029313558320987,select,7.860
