ts_ns,query_type,latency_ms
1784336527147669756,update,73.822
1784336527325776581,select,19.853
1784336527348877690,update,74.211
1784336527527653507,select,19.535
1784336527550293676,update,74.906
1784336527730077046,select,19.408
1784336527753195233,update,75.905
1784336527933454897,select,20.658
1784336527957704869,update,75.613
1784336528138580193,select,19.251
1784336528161503270,update,74.502
1784336528340810857,select,20.798
1784336528365440632,update,75.837
1784336528546573129,select,21.228
1784336528570980609,update,77.015
1784336528752620378,select,19.272
1784336528775097280,update,71.019
1784336528951886129,select,20.472
1784336528975877806,update,71.985
1784336529153387004,select,21.594
1784336529178935219,update,72.570
1784336529356871384,select,23.297
1784336529385006859,update,72.662
1784336529563284128,select,24.366
1784336529590805147,update,75.675
1784336529771586803,select,21.559
1784336529797297502,update,89.710
1784336529991564848,select,20.421
1784336530015231092,update,76.265
1784336530196106320,select,21.348
1784336530220860685,update,75.522
1784336530402071968,select,22.076
1784336530428349808,update,87.799
1784336530621255491,select,25.320
1784336530650423891,update,78.175
1784336530835093062,select,22.416
1784336530860627454,update,77.152
1784336531042377048,select,20.001
1784336531065614425,update,73.584
1784336531243370669,select,20.774
1784336531267784097,update,69.802
1784336531442353146,select,21.464
1784336531466840011,update,70.398
1784336531642066195,select,21.582
1784336531666764681,update,73.689
1784336531844969063,select,21.236
1784336531869798488,update,73.458
1784336532048743091,select,20.416
1784336532073117449,update,75.196
1784336532252912320,select,20.606
1784336532277150766,update,71.535
1784336532453875489,select,21.469
1784336532478883438,update,70.032
1784336532654121049,select,21.532
1784336532678752297,update,77.098
1784336532861688927,select,20.551
1784336532885369080,update,74.027
1784336533064360661,select,20.838
1784336533088748489,update,70.366
1784336533264422609,select,21.555
1784336533289993475,update,92.662
1784336533487965256,select,23.426
1784336533514989079,update,84.072
1784336533704596211,select,22.801
1784336533730492768,update,75.135
1784336533910951563,select,23.681
1784336533938144493,update,80.380
1784336534124861192,select,19.849
1784336534148152326,update,67.722
1784336534320662795,select,22.024
1784336534346452555,update,72.873
1784336534524785660,select,18.839
1784336534546786088,update,71.521
1784336534723010042,select,20.522
1784336534746900970,update,94.619
1784336534946214892,select,20.110
1784336534970422261,update,70.156
1784336535145937824,select,20.556
1784336535169581012,update,66.140
1784336535340472523,select,21.469
1784336535365018202,update,67.136
1784336535537096883,select,23.377
1784336535564026463,update,73.912
1784336535742665701,select,20.164
1784336535767686526,update,70.957
1784336535943486724,select,19.776
1784336535966373996,update,73.537
1784336536146784639,select,20.687
1784336536170907320,update,77.121
1784336536353157113,select,20.590
1784336536376819833,update,69.871
1784336536551356130,select,20.268
1784336536574990196,update,71.737
1784336536752526679,select,19.864
1784336536775643071,update,68.883
1784336536949325102,select,18.671
1784336536970953126,update,81.378
1784336537157256308,select,20.303
1784336537181672810,update,71.678
1784336537358231919,select,19.723
1784336537381010383,update,72.239
1784336537557807515,select,19.116
1784336537580946011,update,70.168
1784336537755841332,select,20.157
1784336537779513165,update,72.547
1784336537956614948,select,22.715
1784336537982338925,update,69.446
1784336538157750948,select,21.591
1784336538182984314,update,69.424
1784336538357421653,select,21.953
1784336538384299647,update,72.056
1784336538562651670,select,20.008
1784336538586006695,update,76.999
1784336538767571883,select,19.995
1784336538791274666,update,75.440
1784336538972045149,select,19.690
1784336538995170775,update,70.997
1784336539171258733,select,22.099
1784336539196470851,update,78.976
1784336539382577793,select,19.596
1784336539405696189,update,71.919
1784336539582507341,select,18.607
1784336539604336510,update,75.237
1784336539784926796,select,18.917
1784336539806846928,update,78.906
1784336539991473333,select,20.373
1784336540016809085,update,76.336
1784336540198745041,select,21.317
1784336540224890955,update,70.076
1784336540399223158,select,19.402
1784336540421492238,update,76.296
1784336540602386542,select,20.422
1784336540626087590,update,74.735
1784336540805724470,select,20.529
1784336540830936269,update,81.842
1784336541017352414,select,21.829
1784336541043744793,update,70.359
1784336541218728419,select,20.211
1784336541241911121,update,72.823
1784336541419359803,select,20.675
1784336541443264766,update,74.461
1784336541622406771,select,20.763
1784336541646491882,update,76.584
1784336541828144796,select,19.898
1784336541851348119,update,82.257
1784336542038692007,select,22.739
1784336542064725141,update,69.529
1784336542239294219,select,23.175
1784336542265695954,update,83.160
1784336542453409217,select,18.825
1784336542475170085,update,106.604
1784336542686152387,select,21.734
1784336542710966824,update,75.334
1784336542891031427,select,20.185
1784336542914289492,update,105.785
1784336543125420114,select,20.954
1784336543150058973,update,77.089
1784336543331957590,select,20.756
1784336543355775087,update,78.666
1784336543539007811,select,19.634
1784336543561626983,update,75.028
1784336543741392272,select,20.471
1784336543765355140,update,70.083
1784336543940714658,select,20.094
1784336543964084893,update,87.788
1784336544156702247,select,21.939
1784336544182067106,update,80.718
1784336544367640584,select,21.680
1784336544392682704,update,89.572
1784336544587652393,select,21.214
1784336544612026159,update,76.760
1784336544793499838,select,21.040
1784336544817857903,update,76.621
1784336545000598784,select,19.558
1784336545024527170,update,76.963
1784336545206085649,select,21.398
1784336545230546156,update,76.425
1784336545411680858,select,21.560
1784336545437171983,update,80.473
1784336545623073619,select,19.387
1784336545645393465,update,68.278
1784336545819173902,select,19.176
1784336545842070867,update,65.671
1784336546012315415,select,21.296
1784336546036730718,update,95.006
1784336546236120694,select,21.043
1784336546260641578,update,89.487
1784336546455308909,select,20.495
1784336546478921692,update,68.765
1784336546652176061,select,21.790
1784336546676898943,update,73.898
1784336546855508984,select,19.686
1784336546878483276,update,75.476
1784336547058404623,select,19.674
1784336547081057824,update,74.346
1784336547259801229,select,20.689
1784336547284550030,update,76.318
1784336547466764554,select,19.094
1784336547489078806,update,66.779
1784336547660502456,select,18.991
1784336547683087072,update,68.447
1784336547856241322,select,20.627
1784336547880296817,update,70.001
1784336548055604937,select,20.283
1784336548079662119,update,69.568
1784336548254223554,select,21.775
1784336548279221633,update,76.330
1784336548460015211,select,21.354
1784336548484745576,update,70.993
1784336548660811599,select,19.894
1784336548683649840,update,77.860
1784336548867046983,select,20.088
1784336548890229777,update,78.977
1784336549073580954,select,22.205
1784336549099111297,update,76.957
1784336549281344685,select,21.422
1784336549306158830,update,76.915
1784336549488601072,select,21.214
1784336549513151173,update,83.456
1784336549702164636,select,20.139
1784336549725692243,update,77.792
1784336549908804166,select,19.967
1784336549932328054,update,78.152
1784336550115373173,select,22.276
1784336550141013212,update,77.408
1784336550323705982,select,21.979
1784336550349613015,update,82.956
1784336550537260072,select,22.764
1784336550563211148,update,84.005
1784336550751617386,select,24.938
1784336550779581931,update,133.174
1784336551017720310,select,21.637
1784336551042829666,update,73.840
1784336551222079094,select,21.616
1784336551247830676,update,78.909
1784336551431246887,select,22.496
1784336551456806919,update,78.885
1784336551639962355,select,20.584
1784336551663881479,update,79.055
1784336551847452991,select,19.903
1784336551871952411,update,74.985
1784336552051322882,select,21.467
1784336552075842019,update,76.496
1784336552256687513,select,20.168
1784336552280194290,update,79.856
1784336552464682913,select,20.273
1784336552488009227,update,81.696
1784336552674645113,select,19.267
1784336552697171487,update,69.529
1784336552871613833,select,20.685
1784336552895437740,update,85.481
1784336553086440414,select,19.430
1784336553108999408,update,71.834
1784336553285467406,select,20.050
1784336553309041361,update,73.666
1784336553487520071,select,20.557
1784336553512043251,update,70.151
1784336553686889601,select,20.132
1784336553710650770,update,75.052
1784336553891878629,select,22.528
1784336553917709808,update,78.199
1784336554101011675,select,20.497
1784336554124603236,update,88.712
1784336554317648634,select,21.827
1784336554342686443,update,77.327
1784336554525832879,select,19.393
1784336554549396429,update,71.435
1784336554726240431,select,23.014
1784336554753454448,update,79.600
1784336554938991487,select,21.059
1784336554963933727,update,74.058
1784336555142940663,select,20.710
1784336555167096349,update,76.710
1784336555348605416,select,21.239
1784336555372950604,update,71.635
1784336555549193546,select,22.684
1784336555574950711,update,78.814
1784336555758740202,select,20.772
1784336555782878544,update,91.263
1784336555978606410,select,19.518
1784336556002011684,update,72.774
1784336556179536205,select,20.547
1784336556203288713,update,72.805
1784336556380461904,select,20.928
1784336556405358478,update,72.414
1784336556582496675,select,20.926
1784336556606683132,update,79.770
1784336556792316452,select,20.115
1784336556815619151,update,76.157
1784336556996523627,select,19.395
1784336557019030165,update,73.586
1784336557197104006,select,20.074
1784336557221005605,update,74.141
1784336557400022749,select,23.783
1784336557427237858,update,72.919
1784336557604841951,select,19.881
1784336557628033749,update,73.852
1784336557806733321,select,21.624
1784336557831434623,update,71.342
1784336558007456812,select,20.684
1784336558031252098,update,67.870
1784336558204248728,select,20.954
1784336558229237122,update,74.763
1784336558409332284,select,21.071
1784336558433777383,update,76.715
1784336558619334807,select,23.347
1784336558646441555,update,74.974
1784336558826914550,select,20.333
1784336558850754403,update,74.021
1784336559029871527,select,20.324
1784336559053451471,update,84.459
1784336559242980150,select,20.109
1784336559266483791,update,76.550
1784336559447960902,select,20.236
1784336559471665510,update,74.681
1784336559651596983,select,25.431
1784336559680071969,update,78.323
1784336559862750604,select,20.115
1784336559886585264,update,73.527
1784336560064960319,select,21.108
1784336560089755038,update,77.520
1784336560272378163,select,24.460
1784336560299984939,update,83.789
1784336560490357409,select,25.528
1784336560519013351,update,83.150
1784336560706593635,select,22.830
1784336560732312674,update,85.926
