Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

23時58分15秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時58分16秒        lo     39.00     39.00     11.32     11.32      0.00      0.00      0.00      0.00
23時58分16秒     ens33  27601.00  25157.00   9438.27   9648.20      0.00      0.00      0.00      0.79
23時58分16秒      cni0  12392.00  12698.00   6377.84   6200.89      0.00      0.00      0.00      0.00
23時58分16秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分16秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分16秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分16秒 veth8c54fcdc     82.00     94.00      9.94     13.38      0.00      0.00      0.00      0.00
23時58分16秒 veth31d8334d   7581.00   7577.00   4326.99   5053.78      0.00      0.00      0.00      0.41
23時58分16秒 veth8017ce2c   6617.00   6915.00   3151.75   2075.21      0.00      0.00      0.00      0.26

23時58分16秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時58分17秒        lo      6.00      6.00      1.04      1.04      0.00      0.00      0.00      0.00
23時58分17秒     ens33  28527.00  25769.00  10507.27  11098.11      0.00      0.00      0.00      0.91
23時58分17秒      cni0  13846.00  13690.00   8238.46   7653.31      0.00      0.00      0.00      0.00
23時58分17秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分17秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
23時58分17秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
23時58分17秒 veth8c54fcdc    105.00    113.00     12.31     12.69      0.00      0.00      0.00      0.00
23時58分17秒 veth31d8334d   9369.00   8831.00   6459.85   6579.33      0.00      0.00      0.00      0.54
23時58分17秒 veth8017ce2c   6668.00   7039.00   3088.08   2197.77      0.00      0.00      0.00      0.25

23時58分17秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時58分18秒        lo     21.00     21.00      2.51      2.51      0.00      0.00      0.00      0.00
23時58分18秒     ens33  27168.00  25070.00   9821.67  10138.73      0.00      0.00      0.00      0.83
23時58分18秒      cni0  13948.00  13433.00   7472.94   7184.92      0.00      0.00      0.00      0.00
23時58分18秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分18秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時58分18秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
23時58分18秒 veth8c54fcdc     72.00     79.00     11.63     12.26      0.00      0.00      0.00      0.00
23時58分18秒 veth31d8334d   9197.00   8331.00   5588.11   6110.60      0.00      0.00      0.00      0.50
23時58分18秒 veth8017ce2c   6947.00   7290.00   3220.05   2218.58      0.00      0.00      0.00      0.26

23時58分18秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時58分19秒        lo     16.00     16.00      2.27      2.27      0.00      0.00      0.00      0.00
