Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分21秒        lo     16.00     16.00      1.81      1.81      0.00      0.00      0.00      0.00
19時24分21秒     ens33  33412.00  28718.00  11515.15  12201.12      0.00      0.00      0.00      1.00
19時24分21秒      cni0  19721.00  21272.00   9917.67   9300.08      0.00      0.00      0.00      0.00
19時24分21秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分21秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
19時24分21秒 veth0c9b2fa5     23.00     23.00      4.50      2.88      0.00      0.00      0.00      0.00
19時24分21秒 vethba68c3a0   6109.00   6422.00    715.16    727.09      0.00      0.00      0.00      0.06
19時24分21秒 veth0a72e473   6607.00   8321.00   6131.85   7274.09      0.00      0.00      0.00      0.60
19時24分21秒 veth575532b7  16396.00  15917.00   6369.31   4331.43      0.00      0.00      0.00      0.52

19時24分21秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分22秒        lo     17.00     17.00      7.09      7.09      0.00      0.00      0.00      0.00
19時24分22秒     ens33  31857.00  27290.00  10996.69  11845.46      0.00      0.00      0.00      0.97
19時24分22秒      cni0  18641.00  20230.00   9669.76   8887.97      0.00      0.00      0.00      0.00
19時24分22秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分22秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分22秒 veth0c9b2fa5      2.00      1.00      0.17      0.10      0.00      0.00      0.00      0.00
19時24分22秒 vethba68c3a0   5605.00   5912.00    659.64    662.45      0.00      0.00      0.00      0.05
19時24分22秒 veth0a72e473   6611.00   8225.00   6151.66   6998.35      0.00      0.00      0.00      0.57
19時24分22秒 veth575532b7  15002.00  14671.00   6034.99   4148.91      0.00      0.00      0.00      0.49

19時24分22秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分23秒        lo      6.00      6.00      0.43      0.43      0.00      0.00      0.00      0.00
19時24分23秒     ens33  32251.00  27667.00  11482.90  11951.75      0.00      0.00      0.00      0.98
19時24分23秒      cni0  18809.00  20047.00   9695.47   9269.34      0.00      0.00      0.00      0.00
19時24分23秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分23秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
19時24分23秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
19時24分23秒 vethba68c3a0   5704.00   6019.00    666.08    672.86      0.00      0.00      0.00      0.06
19時24分23秒 veth0a72e473   6691.00   7979.00   5984.40   7197.29      0.00      0.00      0.00      0.59
19時24分23秒 veth575532b7  14787.00  14420.00   6047.24   4146.70      0.00      0.00      0.00      0.50

19時24分23秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分24秒        lo     27.00     27.00      5.51      5.51      0.00      0.00      0.00      0.00
19時24分24秒     ens33  34584.00  29565.00  12672.14  12862.87      0.00      0.00      0.00      1.05
19時24分24秒      cni0  20031.00  21202.00  10446.08  10289.45      0.00      0.00      0.00      0.00
19時24分24秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分24秒 veth854270a4      6.00      7.00      0.50      3.51      0.00      0.00      0.00      0.00
