2026/06/21 03:44:41 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.3, Count: 35, TPM: 224.9, Sum(ms): 12675.6, Avg(ms): 363.3, 50th(ms): 318.8, 90th(ms): 570.4, 95th(ms): 604.0, 99th(ms): 805.3, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 386, TPM: 2349.0, Sum(ms): 52798.4, Avg(ms): 136.9, 50th(ms): 104.9, 90th(ms): 243.3, 95th(ms): 335.5, 99th(ms): 570.4, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 38, TPM: 230.0, Sum(ms): 1027.0, Avg(ms): 27.1, 50th(ms): 27.3, 90th(ms): 28.3, 95th(ms): 28.3, 99th(ms): 44.0, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] PAYMENT - Takes(s): 9.9, Count: 410, TPM: 2496.1, Sum(ms): 89867.0, Avg(ms): 219.5, 50th(ms): 176.2, 90th(ms): 402.7, 95th(ms): 570.4, 99th(ms): 771.8, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 35, TPM: 215.0, Sum(ms): 557.7, Avg(ms): 16.0, 50th(ms): 14.2, 90th(ms): 16.8, 95th(ms): 16.8, 99th(ms): 75.5, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] DELIVERY - Takes(s): 9.8, Count: 40, TPM: 244.0, Sum(ms): 14164.9, Avg(ms): 355.5, 50th(ms): 318.8, 90th(ms): 503.3, 95th(ms): 570.4, 99th(ms): 939.5, 99.9th(ms): 939.5, Max(ms): 939.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 446, TPM: 2680.3, Sum(ms): 66860.4, Avg(ms): 150.1, 50th(ms): 104.9, 90th(ms): 260.0, 95th(ms): 402.7, 99th(ms): 771.8, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 39, TPM: 247.0, Sum(ms): 1056.0, Avg(ms): 27.1, 50th(ms): 27.3, 90th(ms): 29.4, 95th(ms): 29.4, 99th(ms): 30.4, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] PAYMENT - Takes(s): 10.0, Count: 380, TPM: 2280.1, Sum(ms): 77224.0, Avg(ms): 203.2, 50th(ms): 167.8, 90th(ms): 369.1, 95th(ms): 436.2, 99th(ms): 637.5, 99.9th(ms): 973.1, Max(ms): 973.1
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 41, TPM: 250.4, Sum(ms): 790.1, Avg(ms): 19.3, 50th(ms): 15.7, 90th(ms): 35.7, 95th(ms): 44.0, 99th(ms): 48.2, 99.9th(ms): 48.2, Max(ms): 48.2
[Current] DELIVERY - Takes(s): 9.3, Count: 36, TPM: 233.2, Sum(ms): 13100.5, Avg(ms): 364.7, 50th(ms): 318.8, 90th(ms): 503.3, 95th(ms): 570.4, 99th(ms): 671.1, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] NEW_ORDER - Takes(s): 9.9, Count: 419, TPM: 2543.4, Sum(ms): 62473.9, Avg(ms): 148.9, 50th(ms): 109.1, 90th(ms): 268.4, 95th(ms): 352.3, 99th(ms): 570.4, 99.9th(ms): 1208.0, Max(ms): 1208.0
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 30, TPM: 185.1, Sum(ms): 863.8, Avg(ms): 28.7, 50th(ms): 29.4, 90th(ms): 30.4, 95th(ms): 31.5, 99th(ms): 31.5, 99.9th(ms): 31.5, Max(ms): 31.5
