CLUSTER_LOAD	TYPE	1	varchar(64)	YES		
CLUSTER_LOAD	INSTANCE	2	varchar(64)	YES		
CLUSTER_LOAD	DEVICE_TYPE	3	varchar(64)	YES		
CLUSTER_LOAD	DEVICE_NAME	4	varchar(64)	YES		
CLUSTER_LOAD	NAME	5	varchar(256)	YES		
CLUSTER_LOAD	VALUE	6	varchar(128)	YES		
CLUSTER_LOG	TIME	1	varchar(32)	YES		
CLUSTER_LOG	TYPE	2	varchar(64)	YES		
CLUSTER_LOG	INSTANCE	3	varchar(64)	YES		
CLUSTER_LOG	LEVEL	4	varchar(8)	YES		
CLUSTER_LOG	MESSAGE	5	longtext	YES		
CLUSTER_MEMORY_USAGE	INSTANCE	1	varchar(64)	YES		
CLUSTER_MEMORY_USAGE	MEMORY_TOTAL	2	bigint	NO		
CLUSTER_MEMORY_USAGE	MEMORY_LIMIT	3	bigint	NO		
CLUSTER_MEMORY_USAGE	MEMORY_CURRENT	4	bigint	NO		
CLUSTER_MEMORY_USAGE	MEMORY_MAX_USED	5	bigint	NO		
CLUSTER_MEMORY_USAGE	CURRENT_OPS	6	varchar(50)	YES		
CLUSTER_MEMORY_USAGE	SESSION_KILL_LAST	7	datetime	YES		
CLUSTER_MEMORY_USAGE	SESSION_KILL_TOTAL	8	bigint	NO		
CLUSTER_MEMORY_USAGE	GC_LAST	9	datetime	YES		
CLUSTER_MEMORY_USAGE	GC_TOTAL	10	bigint	NO		
CLUSTER_MEMORY_USAGE	DISK_USAGE	11	bigint	NO		
CLUSTER_MEMORY_USAGE	QUERY_FORCE_DISK	12	bigint	NO		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	INSTANCE	1	varchar(64)	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	TIME	2	datetime	NO		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	OPS	3	varchar(20)	NO		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	MEMORY_LIMIT	4	bigint	NO		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	MEMORY_CURRENT	5	bigint	NO		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	PROCESSID	6	bigint unsigned	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	MEM	7	bigint unsigned	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	DISK	8	bigint unsigned	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	CLIENT	9	varchar(64)	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	DB	10	varchar(64)	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	USER	11	varchar(16)	YES		
