Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

23時37分11秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時37分12秒        lo     16.00     16.00      7.16      7.16      0.00      0.00      0.00      0.00
23時37分12秒     ens33  26422.00  24480.00   9181.40   9333.16      0.00      0.00      0.00      0.76
23時37分12秒      cni0  12405.00  12257.00   5964.36   5850.45      0.00      0.00      0.00      0.00
23時37分12秒 vethbdca3de6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
23時37分12秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分12秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分12秒 veth8c54fcdc     47.00     56.00      5.40      5.13      0.00      0.00      0.00      0.00
23時37分12秒 veth31d8334d   7689.00   7268.00   4022.29   4691.70      0.00      0.00      0.00      0.38
23時37分12秒 veth8017ce2c   6662.00   6927.00   2982.01   2029.39      0.00      0.00      0.00      0.24

23時37分12秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時37分13秒        lo     19.00     19.00      2.73      2.73      0.00      0.00      0.00      0.00
23時37分13秒     ens33  30205.00  27935.00  10653.42  11178.16      0.00      0.00      0.00      0.92
23時37分13秒      cni0  15182.00  14780.00   8165.30   7682.16      0.00      0.00      0.00      0.00
23時37分13秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分13秒 veth854270a4     12.00     14.00      3.44      1.48      0.00      0.00      0.00      0.00
23時37分13秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
23時37分13秒 veth8c54fcdc    161.00    164.00     24.20     23.37      0.00      0.00      0.00      0.00
23時37分13秒 veth31d8334d   9929.00   9185.00   6071.18   6466.09      0.00      0.00      0.00      0.53
23時37分13秒 veth8017ce2c   7588.00   7924.00   3357.09   2276.26      0.00      0.00      0.00      0.28

23時37分13秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時37分14秒        lo     10.00     10.00      1.06      1.06      0.00      0.00      0.00      0.00
23時37分14秒     ens33  29426.00  27393.00  10512.87  11133.79      0.00      0.00      0.00      0.91
23時37分14秒      cni0  13447.00  12843.00   7837.32   7233.02      0.00      0.00      0.00      0.00
23時37分14秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分14秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分14秒 veth0c9b2fa5      7.00      7.00      1.41      1.00      0.00      0.00      0.00      0.00
23時37分14秒 veth8c54fcdc     66.00     74.00      6.47      6.96      0.00      0.00      0.00      0.00
23時37分14秒 veth31d8334d   9910.00   9143.00   6575.01   6435.68      0.00      0.00      0.00      0.54
23時37分14秒 veth8017ce2c   5005.00   5161.00   2274.84   1626.07      0.00      0.00      0.00      0.19

23時37分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時37分15秒        lo     19.00     19.00      4.03      4.03      0.00      0.00      0.00      0.00
23時37分15秒     ens33  27844.00  25592.00  10114.42  10567.91      0.00      0.00      0.00      0.87
23時37分15秒      cni0  14272.00  13849.00   7798.06   7367.74      0.00      0.00      0.00      0.00
23時37分15秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23時37分15秒 veth854270a4     22.00     18.00      5.96      1.89      0.00      0.00      0.00      0.00
23時37分15秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
23時37分15秒 veth8c54fcdc     98.00    111.00     15.42     16.53      0.00      0.00      0.00      0.00
23時37分15秒 veth31d8334d   9142.00   8466.00   5751.23   6132.83      0.00      0.00      0.00      0.50
23時37分15秒 veth8017ce2c   7545.00   7791.00   3353.84   2351.23      0.00      0.00      0.00      0.27

23時37分15秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23時37分16秒        lo     13.00     13.00      1.26      1.26      0.00      0.00      0.00      0.00
23時37分16秒     ens33  31781.00  29445.00  11338.01  12032.45      0.00      0.00      0.00      0.99
