87|3015
116|3021
71|3017
68|3018
51|3023
80|3019
70|3022
52|3018
84|3013
92|3020
101|3019
69|3016
114|3016
115|3017
60|3020
97|3017
108|3020
112|3015
22|3020
59|3017
65|3017
127|3018
124|3018
98|3014
73|3020
103|3015
44|3016
11|3017
42|3017
121|3020
117|3016
88|3015
82|3018
125|3019
119|3018
113|3014
40|3020
43|3017
9|3018
120|3015
15|3017
79|3017
26|3018
48|3016
85|3018
72|3019
95|3020
57|3022
19|3019
61|3017
81|3014
77|3018
30|3020
21|3017
3|3017
17|3016
28|3014
37|3016
104|3013
5|3017
56|3015
91|3019
74|3016
54|3018
29|3016
4|3016
34|3019
96|3018
67|3019
83|3021
63|3018
10|3019
90|3019
35|3018
105|3017
45|3015
6|3014
107|3026
86|3017
39|3015
93|3016
89|3017
36|3016
31|3016
50|3023
102|3017
14|3019
66|3018
109|3021
13|3017
118|3018
111|3020
2|3019
16|3016
62|3016
75|3019
123|3019
128|3017
126|3018
99|3019
41|3019
46|3016
53|3019
32|3016
7|3020
100|3018
38|3018
12|3017
78|3018
24|3019
25|3016
122|3017
94|3015
49|3019
47|3015
20|3016
33|3015
1|3016
76|3016
106|3021
18|3018
64|3017
110|3016
55|3017
27|3021
23|3017
58|3016
8|3017
