87|3013
116|3021
71|3016
68|3016
51|3021
80|3018
70|3022
52|3017
84|3012
92|3018
101|3016
69|3014
114|3016
115|3016
60|3020
97|3014
108|3019
112|3014
22|3018
59|3017
65|3017
127|3016
124|3017
98|3013
73|3017
103|3014
44|3015
11|3015
42|3017
121|3019
117|3014
88|3013
82|3017
125|3018
119|3014
113|3014
40|3020
43|3015
9|3017
120|3013
15|3016
79|3017
26|3016
48|3015
85|3018
72|3019
95|3020
57|3020
19|3016
61|3016
81|3013
77|3016
30|3017
21|3016
3|3016
17|3015
28|3014
37|3016
104|3013
5|3017
56|3014
91|3018
74|3016
54|3016
29|3016
4|3016
34|3019
96|3018
67|3019
83|3018
63|3016
10|3019
90|3018
35|3015
105|3016
45|3015
6|3014
107|3023
86|3016
39|3015
93|3015
89|3016
36|3013
31|3016
50|3022
102|3015
14|3019
66|3016
109|3018
13|3014
118|3016
111|3019
2|3018
16|3016
62|3015
75|3019
123|3016
128|3014
126|3017
99|3017
41|3019
46|3016
53|3017
32|3014
7|3016
100|3016
38|3016
12|3016
78|3016
24|3015
25|3015
122|3016
94|3013
49|3017
47|3014
20|3015
33|3015
1|3016
76|3014
106|3021
18|3015
64|3015
110|3016
55|3015
27|3018
23|3014
58|3014
8|3013
