Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-3) 	06/18/26 	_x86_64_	(4 CPU)

23:19:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:19:12     all    0.50    0.00    1.25    0.00    0.50    0.00    0.00    0.00    0.00   97.75
23:19:13     all    0.25    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.24
23:19:14     all    0.50    0.00    0.50    0.25    0.25    0.00    0.00    0.00    0.00   98.50
23:19:15     all    0.25    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.74
23:19:16     all    0.25    0.00    0.25    0.00    0.75    0.00    0.00    0.00    0.00   98.75
23:19:17     all    0.50    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   98.50
23:19:18     all    0.25    0.00    0.25    0.00    0.50    0.00    0.25    0.00    0.00   98.75
23:19:19     all    0.99    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.02
23:19:20     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.99
23:19:21     all    0.25    0.00    0.50    0.00    0.25    0.00    0.25    0.00    0.00   98.74
23:19:22     all    0.50    0.00    0.25    0.00    0.75    0.25    0.00    0.00    0.00   98.26
23:19:23     all    0.74    0.00    0.74    0.00    0.25    0.25    0.00    0.00    0.00   98.01
23:19:24     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.49
23:19:25     all    0.25    0.00    0.25    0.00    0.50    0.25    0.00    0.00    0.00   98.75
23:19:26     all    0.75    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.26
23:19:27     all    0.00    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   99.49
23:19:28     all    0.50    0.00    0.50    0.00    0.75    0.00    0.00    0.00    0.00   98.26
23:19:29     all    0.50    0.00    0.25    0.00    0.25    0.00    0.25    0.00    0.00   98.75
23:19:30     all    0.00    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   99.24
23:19:31     all    0.25    0.00    0.75    0.00    0.75    0.00    0.00    0.00    0.00   98.25
23:19:32     all    0.75    0.00    0.25    0.00    0.25    0.00    0.25    0.00    0.00   98.50
23:19:33     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   99.00
23:19:34     all    0.74    0.00    0.74    0.00    0.74    0.00    0.00    0.00    0.00   97.77
23:19:35     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
23:19:36     all    0.50    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   99.24
23:19:37     all    0.25    0.00    0.75    0.00    0.50    0.00    0.25    0.00    0.00   98.25
23:19:38     all    1.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.00
23:19:39     all    0.25    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   99.00
23:19:40     all    0.00    0.00    0.75    0.00    0.75    0.00    0.00    0.00    0.00   98.50
23:19:41     all    0.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
23:19:42     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   99.00
23:19:43     all    1.00    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   98.25
23:19:44     all    0.00    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.99
23:19:45     all    0.75    0.00    0.50    0.00    0.50    0.50    0.00    0.00    0.00   97.76
23:19:46     all    0.75    0.00    0.50    0.00    0.50    0.00    0.25    0.00    0.00   98.00
23:19:47     all    0.75    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.50
23:19:48     all    0.00    0.00    0.50    0.00    0.50    0.00    0.25    0.00    0.00   98.74
23:19:49     all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.75
23:19:50     all    0.25    0.00    0.50    0.00    0.50    0.25    0.00    0.00    0.00   98.50
23:19:51     all    0.50    0.00    0.50    0.00    0.50    0.00    0.25    0.00    0.00   98.25
23:19:52     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
23:19:53     all    0.25    0.00    0.25    0.00    0.25    0.00    0.25    0.00    0.00   98.99
23:19:54     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
23:19:55     all    0.50    0.00    0.99    0.00    0.50    0.25    0.00    0.00    0.00   97.77
23:19:56     all    0.75    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   98.75
23:19:57     all    0.00    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   99.25
23:19:58     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
23:19:59     all    0.50    0.00    0.50    0.00    0.75    0.00    0.00    0.00    0.00   98.25
23:20:00     all    0.50    0.00    0.75    0.00    0.25    0.00    0.25    0.00    0.00   98.25
23:20:01     all    0.25    0.00    0.00    0.00    0.25    0.00    0.25    0.00    0.00   99.24
23:20:02     all    0.00    0.00    0.50    0.00    0.75    0.25    0.00    0.00    0.00   98.50
23:20:03     all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
23:20:04     all    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.00
23:20:05     all    0.99    0.00    0.50    0.00    0.50    0.25    0.25    0.00    0.00   97.52
23:20:06     all    0.25    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.24
23:20:07     all    0.75    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.25
23:20:08     all    0.50    0.00    0.50    0.00    0.25    0.00    0.25    0.00    0.00   98.50
23:20:09     all    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.00
23:20:10     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
23:20:11     all    0.75    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.25
23:20:12     all    1.50    0.00    1.50    0.00    0.75    0.25    0.25    0.00    0.00   95.76
23:20:13     all    0.50    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   98.50
23:20:14     all    0.25    0.00    0.50    0.00    0.25    0.00    0.25    0.00    0.00   98.74
23:20:15     all    0.50    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.00
23:20:16     all    1.00    0.00    1.50    0.00    0.50    0.00    0.00    0.00    0.00   96.99
Average:     all    0.46    0.00    0.49    0.00    0.39    0.05    0.07    0.00    0.00   98.55
