ts_ns,query_type,latency_ms
1783578808012782120,update,59.327
1783578808176625624,select,24.500
1783578808204789302,update,58.004
1783578808367669726,select,24.912
1783578808396829225,update,59.663
1783578808561322727,select,22.475
1783578808587507401,update,60.941
1783578808754424810,select,21.220
1783578808779265739,update,59.005
1783578808942750295,select,22.025
1783578808968061195,update,57.140
1783578809131308665,select,22.594
1783578809159186794,update,56.174
1783578809320344009,select,21.756
1783578809345414069,update,53.041
1783578809503843427,select,23.494
1783578809530258042,update,53.372
1783578809688264426,select,21.867
1783578809713368549,update,57.863
1783578809875699487,select,25.509
1783578809904650671,update,57.081
1783578810066457585,select,25.283
1783578810094931098,update,66.357
1783578810266225318,select,24.711
1783578810294645062,update,57.848
1783578810458381652,select,23.524
1783578810485723651,update,52.666
1783578810644301877,select,26.566
1783578810674200926,update,73.040
1783578810853756019,select,26.380
1783578810883635127,update,70.109
1783578811058388678,select,24.957
1783578811086813514,update,75.943
1783578811267524301,select,26.703
1783578811298498537,update,60.069
1783578811464652655,select,30.790
1783578811498850390,update,57.621
1783578811661038936,select,25.368
1783578811689478039,update,57.752
1783578811851642740,select,22.247
1783578811877404603,update,59.517
1783578812043209195,select,23.211
1783578812069651116,update,57.416
1783578812231904924,select,22.189
1783578812257668602,update,60.468
1783578812424338140,select,26.255
1783578812454215186,update,69.078
1783578812627999554,select,27.904
1783578812659115575,update,63.824
1783578812827743651,select,22.562
1783578812854133536,update,54.350
1783578813014145434,select,23.528
1783578813041112693,update,58.139
1783578813205479344,select,27.157
1783578813236291935,update,61.550
1783578813402681897,select,24.294
1783578813431915386,update,53.451
1783578813589965595,select,24.365
1783578813617531634,update,70.995
1783578813794140813,select,24.320
1783578813821480073,update,62.274
1783578813989153721,select,27.495
1783578814019814399,update,66.389
1783578814191584507,select,23.907
1783578814220034805,update,60.137
1783578814385076923,select,22.086
1783578814410413437,update,55.228
1783578814570341806,select,23.097
1783578814596922201,update,56.754
1783578814758784807,select,23.599
1783578814785996461,update,50.135
1783578814941300685,select,22.756
1783578814967232059,update,54.926
1783578815126786522,select,23.066
1783578815153945155,update,59.578
1783578815318824788,select,24.587
1783578815346827607,update,55.710
1783578815507612869,select,26.913
1783578815538033377,update,56.602
1783578815700498800,select,26.026
1783578815730078483,update,61.587
1783578815897103856,select,20.703
1783578815921187413,update,49.752
1783578816075257613,select,25.571
1783578816104353216,update,59.665
1783578816269439555,select,23.139
1783578816295715001,update,52.134
1783578816452674099,select,22.599
1783578816478429473,update,55.667
1783578816639332982,select,27.283
1783578816670059362,update,60.409
1783578816836040204,select,25.715
1783578816865328740,update,60.810
1783578817031104925,select,24.848
1783578817059324241,update,69.019
1783578817233298687,select,22.668
1783578817259259522,update,61.714
1783578817426458252,select,22.358
1783578817452189566,update,55.711
1783578817612922749,select,24.967
1783578817641165309,update,62.418
1783578817810400776,select,24.804
1783578817838655466,update,68.571
1783578818012573639,select,24.157
1783578818039939402,update,59.381
1783578818204280380,select,26.574
1783578818234249278,update,63.782
1783578818403772185,select,22.391
1783578818429409030,update,55.973
1783578818590842173,select,22.498
1783578818617256137,update,58.665
1783578818780661793,select,23.045
1783578818807484628,update,62.932
1783578818975797241,select,22.813
1783578819002109592,update,62.918
1783578819170408182,select,26.079
1783578819199491418,update,62.821
1783578819367317231,select,24.162
1783578819394709878,update,52.145
1783578819551588536,select,22.227
1783578819576948794,update,65.540
1783578819746985567,select,23.967
1783578819774060755,update,59.610
1783578819938716458,select,22.900
1783578819965104938,update,63.269
1783578820133233586,select,25.502
1783578820162207511,update,59.388
1783578820325989702,select,23.187
1783578820352251499,update,73.388
1783578820531707030,select,24.530
1783578820559725801,update,73.876
1783578820739266081,select,26.159
1783578820768910102,update,79.439
1783578820953670507,select,27.851
1783578820985117781,update,68.678
1783578821159357901,select,27.368
1783578821190365062,update,71.990
1783578821368195700,select,25.854
1783578821397308692,update,66.612
1783578821568378907,select,22.873
1783578821594549471,update,66.365
1783578821766284804,select,23.664
1783578821793030933,update,53.248
1783578821950857617,select,22.107
1783578821975928567,update,52.180
1783578822132591715,select,21.021
1783578822156814167,update,52.306
1783578822313407589,select,20.275
1783578822336715544,update,53.211
1783578822494265428,select,22.179
1783578822519440327,update,58.455
1783578822682611761,select,27.935
1783578822713600384,update,58.560
1783578822876927540,select,22.641
1783578822902803393,update,67.749
1783578823074805028,select,22.624
1783578823100670983,update,58.785
1783578823264047340,select,23.849
1783578823290878234,update,65.780
1783578823461800147,select,24.832
1783578823489778946,update,63.056
1783578823657489294,select,24.706
1783578823685823225,update,57.021
1783578823847834784,select,29.011
1783578823880215665,update,65.532
1783578824050560921,select,24.041
1783578824078089971,update,57.499
1783578824240989150,select,24.722
1783578824269226780,update,60.631
1783578824435338758,select,23.060
1783578824461456816,update,59.784
1783578824625927651,select,26.050
1783578824655201415,update,77.468
1783578824836974428,select,22.358
1783578824862617809,update,54.722
1783578825022348309,select,22.184
1783578825047517976,update,56.847
1783578825209565875,select,23.872
1783578825236809333,update,56.108
1783578825397362971,select,22.233
1783578825422562076,update,59.824
1783578825587337919,select,26.109
1783578825617223096,update,59.407
1783578825781884740,select,24.134
1783578825809448666,update,59.887
1783578825974705641,select,23.520
1783578826002149317,update,56.362
1783578826163712362,select,24.144
1783578826191771539,update,63.469
1783578826360998905,select,24.372
1783578826388599405,update,59.773
1783578826553864537,select,20.609
1783578826577753657,update,53.238
1783578826736179212,select,23.454
1783578826763359490,update,56.992
1783578826925653573,select,22.604
1783578826951228918,update,72.170
1783578827127988381,select,21.931
1783578827153801450,update,55.213
1783578827313393905,select,23.458
1783578827340598840,update,60.131
1783578827505604107,select,25.989
1783578827535184379,update,62.171
1783578827702304716,select,23.436
1783578827730065631,update,54.289
1783578827888956636,select,23.165
1783578827915109910,update,54.892
1783578828074751107,select,26.206
1783578828104289202,update,56.216
1783578828265477390,select,24.533
1783578828293305702,update,56.279
1783578828454245025,select,24.225
1783578828481593044,update,56.446
1783578828642391267,select,25.931
1783578828672061289,update,74.508
1783578828851373331,select,27.391
1783578828881950477,update,60.501
1783578829047616847,select,21.018
1783578829072839968,update,52.374
1783578829230257547,select,22.358
1783578829255953487,update,53.735
1783578829414351001,select,21.419
1783578829438633754,update,57.003
1783578829600164184,select,22.391
1783578829625735500,update,56.071
1783578829786949815,select,22.760
