Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

20時41分39秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分40秒        lo      5.94      5.94      0.65      0.65      0.00      0.00      0.00      0.00
20時41分40秒     ens33  35143.56  30839.60  12484.84  13085.70      0.00      0.00      0.00      1.07
20時41分40秒      cni0  15181.19  15921.78   9467.33   8847.44      0.00      0.00      0.00      0.00
20時41分40秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分40秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分40秒 veth0c9b2fa5     25.74     25.74      5.11      3.50      0.00      0.00      0.00      0.00
20時41分40秒 vethba68c3a0   3668.32   3771.29    461.87    474.24      0.00      0.00      0.00      0.04
20時41分40秒 veth0a72e473   7021.78   8344.55   7345.55   7784.35      0.00      0.00      0.00      0.64
20時41分40秒 veth575532b7   9599.01   8912.87   3912.68   2635.40      0.00      0.00      0.00      0.32

20時41分40秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分41秒        lo     25.00     25.00      5.03      5.03      0.00      0.00      0.00      0.00
20時41分41秒     ens33  35502.00  30786.00  12406.27  13337.18      0.00      0.00      0.00      1.09
20時41分41秒      cni0  15115.00  16441.00   9596.23   8654.08      0.00      0.00      0.00      0.00
20時41分41秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分41秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
20時41分41秒 veth0c9b2fa5     35.00     35.00      7.18      4.51      0.00      0.00      0.00      0.00
20時41分41秒 vethba68c3a0   4138.00   4289.00    510.62    506.34      0.00      0.00      0.00      0.04
20時41分41秒 veth0a72e473   6984.00   8563.00   7649.13   7701.31      0.00      0.00      0.00      0.63
20時41分41秒 veth575532b7  10086.00   9682.00   3879.63   2687.84      0.00      0.00      0.00      0.32

20時41分41秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分42秒        lo     11.00     11.00      1.14      1.14      0.00      0.00      0.00      0.00
20時41分42秒     ens33  30967.00  27318.00  10402.42  11810.29      0.00      0.00      0.00      0.97
20時41分42秒      cni0  15769.00  16733.00   9030.60   7663.26      0.00      0.00      0.00      0.00
20時41分42秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分42秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分42秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分42秒 vethba68c3a0   5148.00   5329.00    608.73    616.38      0.00      0.00      0.00      0.05
20時41分42秒 veth0a72e473   7277.00   8306.00   7109.80   6777.67      0.00      0.00      0.00      0.58
20時41分42秒 veth575532b7  11050.00  10809.00   4211.79   2958.48      0.00      0.00      0.00      0.35

20時41分42秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分43秒        lo     16.00     16.00      2.03      2.03      0.00      0.00      0.00      0.00
20時41分43秒     ens33  30431.00  26603.00  10479.51  11855.64      0.00      0.00      0.00      0.97
20時41分43秒      cni0  16380.00  17350.00   9364.40   8036.25      0.00      0.00      0.00      0.00
20時41分43秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分43秒 veth854270a4     11.00     15.00      3.42      1.55      0.00      0.00      0.00      0.00
20時41分43秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
20時41分43秒 vethba68c3a0   4753.00   4957.00    571.57    569.71      0.00      0.00      0.00      0.05
20時41分43秒 veth0a72e473   6957.00   7976.00   6912.34   6829.48      0.00      0.00      0.00      0.57
20時41分43秒 veth575532b7  11917.00  11655.00   4779.26   3309.23      0.00      0.00      0.00      0.39

20時41分43秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分44秒        lo     19.00     19.00      7.09      7.09      0.00      0.00      0.00      0.00
20時41分44秒     ens33  32282.00  28178.00  11488.45  12626.40      0.00      0.00      0.00      1.03
20時41分44秒      cni0  16033.00  16832.00   9702.55   8572.79      0.00      0.00      0.00      0.00
20時41分44秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分44秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分44秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20時41分44秒 vethba68c3a0   5359.00   5589.00    642.56    639.76      0.00      0.00      0.00      0.05
20時41分44秒 veth0a72e473   7052.00   7810.00   7251.19   7246.16      0.00      0.00      0.00      0.59
20時41分44秒 veth575532b7  11272.00  11083.00   4478.26   3137.13      0.00      0.00      0.00      0.37

20時41分44秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20時41分45秒        lo     23.00     23.00      4.67      4.67      0.00      0.00      0.00      0.00
20時41分45秒     ens33  34242.00  30271.00  11906.44  13338.90      0.00      0.00      0.00      1.09
20時41分45秒      cni0  16341.00  17081.00   9982.75   8568.06      0.00      0.00      0.00      0.00
20時41分45秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
