o_w_id	max
1	3009
2	3007
3	3006
4	3008
5	3008
6	3008
7	3008
8	3007
9	3007
10	3011
11	3010
12	3012
13	3012
14	3007
15	3005
16	3011
17	3011
18	3008
19	3009
20	3006
21	3007
22	3007
23	3010
24	3010
25	3007
26	3007
27	3007
28	3010
29	3007
30	3007
31	3008
32	3006
33	3008
34	3009
35	3007
36	3009
37	3007
38	3009
39	3006
40	3007
41	3007
42	3009
43	3011
44	3006
45	3008
46	3008
47	3009
48	3009
49	3008
50	3009
51	3007
52	3007
53	3007
54	3007
55	3007
56	3009
57	3007
58	3010
59	3008
60	3006
61	3007
62	3006
63	3008
64	3005
65	3009
66	3006
67	3011
68	3007
69	3008
70	3008
71	3008
72	3010
73	3006
74	3008
75	3007
76	3006
77	3008
78	3010
79	3009
80	3009
81	3007
82	3009
83	3009
84	3010
85	3007
86	3007
87	3007
88	3010
89	3008
90	3009
91	3008
92	3009
93	3008
94	3007
95	3005
96	3006
97	3009
98	3008
99	3007
100	3007
101	3009
102	3010
103	3008
104	3010
105	3010
106	3008
107	3008
108	3007
109	3007
110	3007
111	3008
112	3005
113	3008
114	3007
115	3008
116	3007
117	3007
118	3008
119	3008
120	3008
121	3007
122	3009
123	3008
124	3009
125	3008
126	3008
127	3007
128	3008
