procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1945996   7420 5451552    0    0     0     0 13146 15019  2  4 95  0  0
 0  0      0 1945424   7420 5451572    0    0     0    26 11384 13380  2  3 94  0  0
 0  0      0 1945280   7420 5451580    0    0     0   208 11323 13644  1  3 96  0  0
 0  0      0 1944992   7420 5451580    0    0     0     0 11472 13354  1  3 96  0  0
 3  0      0 1946320   7420 5451588    0    0     0     0 11000 12491  2  3 95  0  0
 0  0      0 1946136   7420 5451592    0    0     0     0 12628 14586  1  3 95  0  0
 0  0      0 1946556   7420 5451592    0    0     0     0 13860 16015  2  3 96  0  0
 0  0      0 1945624   7420 5451592    0    0     0     0 14487 16385  1  3 96  0  0
 1  0      0 1946784   7420 5451608    0    0     0   126 13597 15699  2  4 94  0  0
 0  0      0 1946548   7420 5451616    0    0     0     0 13403 15701  1  3 96  0  0
 0  0      0 1945920   7420 5451616    0    0     0     0 13889 15705  1  3 96  0  0
 0  0      0 1946152   7420 5451628    0    0     0    25 14821 17048  2  4 95  0  0
 0  0      0 1945972   7420 5451632    0    0     0     0 14017 16362  2  3 96  0  0
 0  0      0 1946432   7420 5451632    0    0     0     0 12931 15183  1  3 96  0  0
 0  0      0 1944912   7420 5451632    0    0     0     0 12392 14570  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1946088   7420 5451640    0    0     0     0 13152 14962  2  4 94  0  0
 1  0      0 1946260   7420 5451648    0    0     0     0 14627 17076  1  3 96  0  0
 0  0      0 1945760   7420 5451648    0    0     0     0 15509 17682  2  3 95  0  0
 0  0      0 1945712   7420 5451660    0    0     0    29 14002 16500  2  3 94  0  0
 0  0      0 1945676   7420 5451660    0    0     0     0 12770 14808  2  3 96  0  0
 0  0      0 1946144   7420 5451664    0    0     0     0 14828 17539  2  3 95  0  0
 1  0      0 1920264   7420 5451672    0    0     0     4 14958 17506  4  4 92  0  0
 0  0      0 1921732   7420 5451692    0    0     0     0 14671 16790  1  4 95  0  0
 1  0      0 1921964   7420 5451692    0    0     0     0 14797 16697  2  4 95  0  0
 0  0      0 1921800   7420 5451692    0    0     0     0 14702 16668  1  3 95  0  0
 0  0      0 1920244   7420 5451704    0    0     0    34 14960 17145  2  4 94  0  0
 0  0      0 1920388   7420 5451708    0    0     0     0 14500 16993  1  4 95  0  0
 0  0      0 1920464   7420 5451708    0    0     0     0 13898 15946  1  3 96  0  0
 0  0      0 1921328   7420 5451724    0    0     0    26 14241 16213  2  4 94  0  0
 0  0      0 1921252   7420 5451720    0    0     0     0 12907 15208  2  3 95  0  0
 0  0      0 1922084   7420 5451724    0    0     0     0 12891 14811  2  3 95  0  0
 0  0      0 1921020   7420 5451728    0    0     0     0 13080 15073  1  3 96  0  0
 0  0      0 1921296   7420 5451736    0    0     0   160 14176 16594  2  3 95  0  0
 0  0      0 1921204   7420 5451736    0    0     0     0 14114 16173  1  3 96  0  0
 1  0      0 1921768   7420 5451736    0    0     0     0 13360 15467  1  3 96  0  0
 0  0      0 1920864   7420 5451756    0    0     0    24 14241 16377  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1920656   7420 5451760    0    0     0     0 12810 15184  1  2 97  0  0
 0  0      0 1920824   7420 5451764    0    0     0     0 14004 16432  1  3 96  0  0
 0  0      0 1919492   7420 5451768    0    0     0     0 13740 15666  2  3 96  0  0
 1  0      0 1928552   7420 5451772    0    0     0     0 14149 16085  2  4 95  0  0
 0  0      0 1944652   7420 5451772    0    0     0   360 14372 15932  7  5 89  0  0
 0  0      0 1944680   7420 5451772    0    0     0     0 13778 16424  1  3 96  0  0
 2  0      0 1945212   7420 5451792    0    0     0    38 15136 17150  2  4 95  0  0
 0  0      0 1945540   7420 5451792    0    0     0     0 12622 14545  1  3 96  0  0
