o_w_id	max
1	3019
2	3016
3	3013
4	3018
5	3016
6	3016
7	3017
8	3016
9	3015
10	3016
11	3021
12	3019
13	3019
14	3014
15	3021
16	3018
17	3014
18	3020
19	3023
20	3017
21	3018
22	3015
23	3017
24	3016
25	3017
26	3017
27	3013
28	3017
29	3016
30	3018
31	3016
32	3013
33	3016
34	3023
35	3018
36	3021
37	3015
38	3019
39	3023
40	3017
41	3014
42	3018
43	3017
44	3020
45	3016
46	3019
47	3018
48	3015
49	3016
50	3015
51	3016
52	3018
53	3015
54	3013
55	3024
56	3022
57	3016
58	3013
59	3019
60	3017
61	3019
62	3016
63	3018
64	3018
65	3016
66	3018
67	3018
68	3019
69	3019
70	3015
71	3017
72	3015
73	3016
74	3018
75	3019
76	3018
77	3019
78	3018
79	3014
80	3019
81	3018
82	3021
83	3017
84	3019
85	3022
86	3015
87	3016
88	3019
89	3020
90	3017
91	3014
92	3013
93	3017
94	3015
95	3016
96	3015
97	3016
98	3017
99	3014
100	3017
101	3016
102	3019
103	3017
104	3015
105	3014
106	3023
107	3016
108	3017
109	3020
110	3015
111	3018
112	3018
113	3019
114	3020
115	3015
116	3016
117	3015
118	3019
119	3017
120	3015
121	3016
122	3018
123	3020
124	3016
125	3016
126	3017
127	3015
128	3014
NOTICE: No license is installed. Throttling will begin after 2026-08-15 11:59:59 +0000 UTC unless a license is installed before then.
