o_w_id	max
1	3018
2	3015
3	3013
4	3018
5	3016
6	3016
7	3017
8	3016
9	3015
10	3015
11	3019
12	3018
13	3017
14	3013
15	3020
16	3016
17	3013
18	3019
19	3022
20	3017
21	3017
22	3015
23	3016
24	3016
25	3017
26	3017
27	3012
28	3016
29	3016
30	3017
31	3016
32	3013
33	3016
34	3021
35	3017
36	3019
37	3014
38	3018
39	3023
40	3017
41	3014
42	3016
43	3017
44	3020
45	3016
46	3017
47	3018
48	3014
49	3016
50	3015
51	3016
52	3018
53	3015
54	3012
55	3022
56	3022
57	3015
58	3012
59	3017
60	3017
61	3017
62	3016
63	3018
64	3017
65	3016
66	3016
67	3018
68	3019
69	3019
70	3015
71	3017
72	3014
73	3016
74	3018
75	3018
76	3018
77	3018
78	3017
79	3014
80	3017
81	3018
82	3021
83	3016
84	3019
85	3020
86	3014
87	3016
88	3019
89	3020
90	3017
91	3014
92	3013
93	3017
94	3015
95	3016
96	3015
97	3016
98	3017
99	3014
100	3017
101	3016
102	3017
103	3017
104	3014
105	3013
106	3023
107	3014
108	3016
109	3017
110	3015
111	3017
112	3017
113	3019
114	3019
115	3014
116	3015
117	3015
118	3018
119	3017
120	3015
121	3015
122	3017
123	3018
124	3015
125	3015
126	3017
127	3015
128	3014
NOTICE: No license is installed. Throttling will begin after 2026-08-15 11:59:59 +0000 UTC unless a license is installed before then.
