122	3012
64	3011
115	3013
21	3009
116	3009
49	3010
114	3010
58	3015
108	3010
103	3010
68	3009
65	3013
27	3015
43	3015
17	3011
110	3009
81	3014
50	3012
38	3011
63	3011
56	3014
42	3011
119	3009
10	3008
124	3012
75	3011
44	3008
87	3010
4	3013
80	3010
11	3009
5	3012
33	3012
69	3012
125	3013
77	3008
95	3010
123	3011
100	3011
104	3010
99	3010
13	3010
16	3008
91	3012
55	3012
89	3011
54	3009
1	3013
20	3012
93	3012
88	3011
98	3014
47	3013
36	3007
7	3010
6	3011
62	3013
41	3009
57	3010
40	3011
19	3010
78	3011
39	3010
79	3010
60	3010
82	3009
48	3012
90	3010
35	3011
18	3011
8	3010
105	3008
72	3012
111	3008
51	3012
25	3012
30	3012
15	3011
96	3011
2	3009
83	3009
113	3011
71	3010
31	3012
70	3009
67	3010
117	3012
9	3010
73	3013
26	3011
84	3016
23	3012
94	3009
37	3010
107	3014
59	3012
109	3013
127	3009
34	3010
22	3010
101	3009
46	3011
28	3012
45	3011
12	3010
106	3011
118	3014
97	3009
32	3011
52	3010
3	3013
128	3010
29	3011
112	3011
86	3012
102	3010
121	3012
92	3013
120	3011
126	3011
14	3009
24	3010
76	3012
61	3013
66	3011
74	3010
85	3011
53	3013
