Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時31分16秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時31分17秒        lo      7.00      7.00      1.10      1.10      0.00      0.00      0.00      0.00
19時31分17秒     ens33  35055.00  31068.00  12255.22  11244.79      0.00      0.00      0.00      1.00
19時31分17秒      cni0  17311.00  18004.00   7937.83   8972.27      0.00      0.00      0.00      0.00
19時31分17秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時31分17秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
19時31分17秒 veth0c9b2fa5     35.00     35.00      7.18      4.51      0.00      0.00      0.00      0.00
19時31分17秒 vethba68c3a0   6303.00   6557.00    737.93    743.05      0.00      0.00      0.00      0.06
19時31分17秒 veth0a72e473   9164.00   9750.00   5491.61   7415.40      0.00      0.00      0.00      0.61
19時31分17秒 veth575532b7  10084.00   9935.00   3787.06   2660.33      0.00      0.00      0.00      0.31

19時31分17秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時31分18秒        lo     34.00     34.00      5.99      5.99      0.00      0.00      0.00      0.00
19時31分18秒     ens33  33629.00  29734.00  12099.98  11226.16      0.00      0.00      0.00      0.99
19時31分18秒      cni0  17005.00  17454.00   8161.65   9049.02      0.00      0.00      0.00      0.00
19時31分18秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時31分18秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時31分18秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時31分18秒 vethba68c3a0   6571.00   6898.00    758.78    759.33      0.00      0.00      0.00      0.06
19時31分18秒 veth0a72e473   9132.00   9486.00   5697.25   7557.83      0.00      0.00      0.00      0.62
19時31分18秒 veth575532b7  11346.00  11115.00   4095.64   2890.26      0.00      0.00      0.00      0.34

19時31分18秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
