92	4346
74	4368
128	4342
61	4346
112	4329
126	4369
85	4352
53	4313
24	4325
86	4373
121	4368
118	4358
120	4364
29	4370
102	4311
52	4328
66	4374
97	4325
32	4349
3	4370
14	4323
76	4334
104	4342
125	4361
80	4368
20	4369
95	4340
11	4376
54	4329
100	4362
99	4340
16	4375
91	4343
55	4331
77	4393
5	4364
69	4345
87	4405
93	4389
88	4358
13	4324
4	4323
89	4358
1	4340
123	4316
33	4340
78	4363
35	4409
18	4357
6	4341
47	4339
90	4358
82	4355
72	4350
57	4358
36	4370
111	4387
7	4333
39	4350
8	4376
79	4332
60	4354
98	4344
105	4385
48	4341
40	4385
62	4386
41	4375
19	4356
22	4344
113	4361
109	4370
67	4364
117	4415
9	4371
28	4378
51	4342
73	4329
26	4347
94	4341
70	4387
12	4315
30	4347
46	4357
83	4358
34	4316
45	4346
84	4360
23	4399
15	4329
37	4347
59	4386
101	4385
96	4374
2	4353
71	4371
25	4358
107	4349
31	4337
106	4361
127	4364
65	4333
110	4331
43	4365
115	4362
27	4316
58	4349
119	4366
17	4366
56	4344
114	4354
38	4332
10	4340
64	4367
108	4391
81	4373
21	4369
116	4373
68	4346
124	4328
63	4338
75	4346
49	4364
103	4341
50	4362
42	4354
44	4352
122	4342
