2026/07/18 12:52:05 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1838, TPM: 11033.6, Sum(ms): 98704.3, Avg(ms): 53.7, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 109.1, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1780, TPM: 10688.0, Sum(ms): 60430.0, Avg(ms): 34.0, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 92.3, Max(ms): 100.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1886, TPM: 11317.3, Sum(ms): 99757.0, Avg(ms): 52.9, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 67.1, 99th(ms): 88.1, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1795, TPM: 10773.5, Sum(ms): 59214.8, Avg(ms): 33.0, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 100.7, Max(ms): 104.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1858, TPM: 11147.4, Sum(ms): 98502.3, Avg(ms): 53.0, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 88.1, 99.9th(ms): 113.2, Max(ms): 134.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1828, TPM: 10967.1, Sum(ms): 60639.1, Avg(ms): 33.2, 50th(ms): 31.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 71.3, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1863, TPM: 11180.1, Sum(ms): 99991.2, Avg(ms): 53.7, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 67.1, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 113.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1771, TPM: 10629.4, Sum(ms): 59063.3, Avg(ms): 33.4, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 88.1, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1807, TPM: 10842.2, Sum(ms): 96440.2, Avg(ms): 53.4, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1869, TPM: 11225.6, Sum(ms): 62702.2, Avg(ms): 33.6, 50th(ms): 31.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 71.3, 99.9th(ms): 83.9, Max(ms): 104.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1751, TPM: 10507.6, Sum(ms): 96118.6, Avg(ms): 54.9, 50th(ms): 62.9, 90th(ms): 71.3, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 117.4, Max(ms): 121.6
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1811, TPM: 10868.7, Sum(ms): 63180.6, Avg(ms): 34.9, 50th(ms): 33.6, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 79.7, 99.9th(ms): 83.9, Max(ms): 88.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1803, TPM: 10831.6, Sum(ms): 97783.4, Avg(ms): 54.2, 50th(ms): 62.9, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 88.1, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1783, TPM: 10714.2, Sum(ms): 61243.4, Avg(ms): 34.4, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 75.5, 99.9th(ms): 88.1, Max(ms): 100.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1753, TPM: 10526.7, Sum(ms): 95666.2, Avg(ms): 54.6, 50th(ms): 62.9, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1877, TPM: 11272.0, Sum(ms): 63552.8, Avg(ms): 33.9, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 60.8, 99.9th(ms): 83.9, Max(ms): 125.8
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1811, TPM: 10874.6, Sum(ms): 97724.6, Avg(ms): 54.0, 50th(ms): 62.9, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1802, TPM: 10812.9, Sum(ms): 61261.1, Avg(ms): 34.0, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 67.1, 99.9th(ms): 83.9, Max(ms): 104.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1837, TPM: 11023.6, Sum(ms): 98299.0, Avg(ms): 53.6, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 104.9, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1809, TPM: 10858.2, Sum(ms): 60950.4, Avg(ms): 33.7, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 92.3, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1772, TPM: 10638.9, Sum(ms): 97642.7, Avg(ms): 55.1, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 134.2, 99.9th(ms): 335.5, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1735, TPM: 10410.8, Sum(ms): 61446.7, Avg(ms): 35.5, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 92.3, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1902, TPM: 11413.1, Sum(ms): 101216.0, Avg(ms): 53.2, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1735, TPM: 10411.2, Sum(ms): 57880.8, Avg(ms): 33.4, 50th(ms): 31.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 60.8, 99.9th(ms): 79.7, Max(ms): 83.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1814, TPM: 10886.0, Sum(ms): 96977.8, Avg(ms): 53.5, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 117.4, Max(ms): 121.6
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1837, TPM: 11024.3, Sum(ms): 62167.5, Avg(ms): 33.9, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 60.8, 99.9th(ms): 83.9, Max(ms): 88.1
