2026/07/03 00:19:28 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
begin to check warehouse 8 at condition 3.3.2.11
begin to check warehouse 8 at condition 3.3.2.4
begin to check warehouse 8 at condition 3.3.2.5
begin to check warehouse 8 at condition 3.3.2.3
begin to check warehouse 8 at condition 3.3.2.6
begin to check warehouse 8 at condition 3.3.2.7
begin to check warehouse 8 at condition 3.3.2.8
begin to check warehouse 8 at condition 3.3.2.12
begin to check warehouse 8 at condition 3.3.2.1
begin to check warehouse 8 at condition 3.3.2.2
begin to check warehouse 9 at condition 3.3.2.4
begin to check warehouse 9 at condition 3.3.2.5
begin to check warehouse 9 at condition 3.3.2.9
begin to check warehouse 9 at condition 3.3.2.10
begin to check warehouse 9 at condition 3.3.2.11
begin to check warehouse 9 at condition 3.3.2.1
begin to check warehouse 9 at condition 3.3.2.2
begin to check warehouse 9 at condition 3.3.2.3
begin to check warehouse 9 at condition 3.3.2.6
begin to check warehouse 9 at condition 3.3.2.7
begin to check warehouse 9 at condition 3.3.2.8
begin to check warehouse 9 at condition 3.3.2.12
begin to check warehouse 10 at condition 3.3.2.3
begin to check warehouse 10 at condition 3.3.2.6
begin to check warehouse 10 at condition 3.3.2.7
begin to check warehouse 10 at condition 3.3.2.8
begin to check warehouse 10 at condition 3.3.2.12
begin to check warehouse 10 at condition 3.3.2.1
begin to check warehouse 10 at condition 3.3.2.2
begin to check warehouse 10 at condition 3.3.2.9
begin to check warehouse 10 at condition 3.3.2.10
begin to check warehouse 10 at condition 3.3.2.11
begin to check warehouse 10 at condition 3.3.2.4
begin to check warehouse 10 at condition 3.3.2.5
begin to check warehouse 11 at condition 3.3.2.11
begin to check warehouse 11 at condition 3.3.2.4
begin to check warehouse 11 at condition 3.3.2.5
begin to check warehouse 11 at condition 3.3.2.9
begin to check warehouse 11 at condition 3.3.2.10
begin to check warehouse 11 at condition 3.3.2.7
begin to check warehouse 11 at condition 3.3.2.8
begin to check warehouse 11 at condition 3.3.2.12
begin to check warehouse 11 at condition 3.3.2.1
begin to check warehouse 11 at condition 3.3.2.2
begin to check warehouse 11 at condition 3.3.2.3
begin to check warehouse 11 at condition 3.3.2.6
begin to check warehouse 12 at condition 3.3.2.2
begin to check warehouse 12 at condition 3.3.2.3
begin to check warehouse 12 at condition 3.3.2.6
begin to check warehouse 12 at condition 3.3.2.7
begin to check warehouse 12 at condition 3.3.2.8
begin to check warehouse 12 at condition 3.3.2.12
begin to check warehouse 12 at condition 3.3.2.1
begin to check warehouse 12 at condition 3.3.2.5
begin to check warehouse 12 at condition 3.3.2.9
begin to check warehouse 12 at condition 3.3.2.10
begin to check warehouse 12 at condition 3.3.2.11
begin to check warehouse 12 at condition 3.3.2.4
begin to check warehouse 13 at condition 3.3.2.6
begin to check warehouse 13 at condition 3.3.2.7
begin to check warehouse 13 at condition 3.3.2.8
begin to check warehouse 13 at condition 3.3.2.12
begin to check warehouse 13 at condition 3.3.2.1
begin to check warehouse 13 at condition 3.3.2.2
begin to check warehouse 13 at condition 3.3.2.3
begin to check warehouse 13 at condition 3.3.2.10
begin to check warehouse 13 at condition 3.3.2.11
begin to check warehouse 13 at condition 3.3.2.4
begin to check warehouse 13 at condition 3.3.2.5
begin to check warehouse 13 at condition 3.3.2.9
begin to check warehouse 14 at condition 3.3.2.4
begin to check warehouse 14 at condition 3.3.2.5
begin to check warehouse 14 at condition 3.3.2.9
begin to check warehouse 14 at condition 3.3.2.10
begin to check warehouse 14 at condition 3.3.2.11
begin to check warehouse 14 at condition 3.3.2.8
begin to check warehouse 14 at condition 3.3.2.12
begin to check warehouse 14 at condition 3.3.2.1
begin to check warehouse 14 at condition 3.3.2.2
begin to check warehouse 14 at condition 3.3.2.3
begin to check warehouse 14 at condition 3.3.2.6
begin to check warehouse 14 at condition 3.3.2.7
begin to check warehouse 15 at condition 3.3.2.12
begin to check warehouse 15 at condition 3.3.2.1
begin to check warehouse 15 at condition 3.3.2.2
begin to check warehouse 15 at condition 3.3.2.3
begin to check warehouse 15 at condition 3.3.2.6
begin to check warehouse 15 at condition 3.3.2.7
begin to check warehouse 15 at condition 3.3.2.8
begin to check warehouse 15 at condition 3.3.2.4
begin to check warehouse 15 at condition 3.3.2.5
begin to check warehouse 15 at condition 3.3.2.9
begin to check warehouse 15 at condition 3.3.2.10
begin to check warehouse 15 at condition 3.3.2.11
begin to check warehouse 16 at condition 3.3.2.7
begin to check warehouse 16 at condition 3.3.2.8
begin to check warehouse 16 at condition 3.3.2.12
begin to check warehouse 16 at condition 3.3.2.1
begin to check warehouse 16 at condition 3.3.2.2
begin to check warehouse 16 at condition 3.3.2.3
begin to check warehouse 16 at condition 3.3.2.6
begin to check warehouse 16 at condition 3.3.2.11
begin to check warehouse 16 at condition 3.3.2.4
begin to check warehouse 16 at condition 3.3.2.5
begin to check warehouse 16 at condition 3.3.2.9
begin to check warehouse 16 at condition 3.3.2.10
begin to check warehouse 17 at condition 3.3.2.10
begin to check warehouse 17 at condition 3.3.2.11
begin to check warehouse 17 at condition 3.3.2.4
begin to check warehouse 17 at condition 3.3.2.5
begin to check warehouse 17 at condition 3.3.2.9
begin to check warehouse 17 at condition 3.3.2.6
begin to check warehouse 17 at condition 3.3.2.7
begin to check warehouse 17 at condition 3.3.2.8
begin to check warehouse 17 at condition 3.3.2.12
begin to check warehouse 17 at condition 3.3.2.1
begin to check warehouse 17 at condition 3.3.2.2
begin to check warehouse 17 at condition 3.3.2.3
begin to check warehouse 18 at condition 3.3.2.5
begin to check warehouse 18 at condition 3.3.2.9
begin to check warehouse 18 at condition 3.3.2.10
begin to check warehouse 18 at condition 3.3.2.11
begin to check warehouse 18 at condition 3.3.2.4
begin to check warehouse 18 at condition 3.3.2.2
begin to check warehouse 18 at condition 3.3.2.3
begin to check warehouse 18 at condition 3.3.2.6
begin to check warehouse 18 at condition 3.3.2.7
begin to check warehouse 18 at condition 3.3.2.8
begin to check warehouse 18 at condition 3.3.2.12
begin to check warehouse 18 at condition 3.3.2.1
begin to check warehouse 19 at condition 3.3.2.9
begin to check warehouse 19 at condition 3.3.2.10
begin to check warehouse 19 at condition 3.3.2.11
begin to check warehouse 19 at condition 3.3.2.4
begin to check warehouse 19 at condition 3.3.2.5
begin to check warehouse 19 at condition 3.3.2.3
begin to check warehouse 19 at condition 3.3.2.6
begin to check warehouse 19 at condition 3.3.2.7
begin to check warehouse 19 at condition 3.3.2.8
begin to check warehouse 19 at condition 3.3.2.12
begin to check warehouse 19 at condition 3.3.2.1
begin to check warehouse 19 at condition 3.3.2.2
begin to check warehouse 20 at condition 3.3.2.4
begin to check warehouse 20 at condition 3.3.2.5
begin to check warehouse 20 at condition 3.3.2.9
begin to check warehouse 20 at condition 3.3.2.10
begin to check warehouse 20 at condition 3.3.2.11
begin to check warehouse 20 at condition 3.3.2.1
begin to check warehouse 20 at condition 3.3.2.2
begin to check warehouse 20 at condition 3.3.2.3
begin to check warehouse 20 at condition 3.3.2.6
begin to check warehouse 20 at condition 3.3.2.7
begin to check warehouse 20 at condition 3.3.2.8
begin to check warehouse 20 at condition 3.3.2.12
begin to check warehouse 21 at condition 3.3.2.6
begin to check warehouse 21 at condition 3.3.2.7
begin to check warehouse 21 at condition 3.3.2.8
begin to check warehouse 21 at condition 3.3.2.12
begin to check warehouse 21 at condition 3.3.2.1
begin to check warehouse 21 at condition 3.3.2.2
begin to check warehouse 21 at condition 3.3.2.3
begin to check warehouse 21 at condition 3.3.2.10
begin to check warehouse 21 at condition 3.3.2.11
begin to check warehouse 21 at condition 3.3.2.4
begin to check warehouse 21 at condition 3.3.2.5
begin to check warehouse 21 at condition 3.3.2.9
begin to check warehouse 22 at condition 3.3.2.7
begin to check warehouse 22 at condition 3.3.2.8
begin to check warehouse 22 at condition 3.3.2.12
begin to check warehouse 22 at condition 3.3.2.1
begin to check warehouse 22 at condition 3.3.2.2
begin to check warehouse 22 at condition 3.3.2.3
begin to check warehouse 22 at condition 3.3.2.6
begin to check warehouse 22 at condition 3.3.2.11
begin to check warehouse 22 at condition 3.3.2.4
begin to check warehouse 22 at condition 3.3.2.5
begin to check warehouse 22 at condition 3.3.2.9
begin to check warehouse 22 at condition 3.3.2.10
begin to check warehouse 23 at condition 3.3.2.1
begin to check warehouse 23 at condition 3.3.2.2
begin to check warehouse 23 at condition 3.3.2.3
begin to check warehouse 23 at condition 3.3.2.6
begin to check warehouse 23 at condition 3.3.2.7
begin to check warehouse 23 at condition 3.3.2.8
begin to check warehouse 23 at condition 3.3.2.12
begin to check warehouse 23 at condition 3.3.2.4
begin to check warehouse 23 at condition 3.3.2.5
begin to check warehouse 23 at condition 3.3.2.9
begin to check warehouse 23 at condition 3.3.2.10
begin to check warehouse 23 at condition 3.3.2.11
begin to check warehouse 24 at condition 3.3.2.1
begin to check warehouse 24 at condition 3.3.2.2
begin to check warehouse 24 at condition 3.3.2.3
begin to check warehouse 24 at condition 3.3.2.6
begin to check warehouse 24 at condition 3.3.2.7
begin to check warehouse 24 at condition 3.3.2.8
begin to check warehouse 24 at condition 3.3.2.12
begin to check warehouse 24 at condition 3.3.2.4
begin to check warehouse 24 at condition 3.3.2.5
begin to check warehouse 24 at condition 3.3.2.9
begin to check warehouse 24 at condition 3.3.2.10
begin to check warehouse 24 at condition 3.3.2.11
begin to check warehouse 25 at condition 3.3.2.1
begin to check warehouse 25 at condition 3.3.2.2
begin to check warehouse 25 at condition 3.3.2.3
begin to check warehouse 25 at condition 3.3.2.6
begin to check warehouse 25 at condition 3.3.2.7
begin to check warehouse 25 at condition 3.3.2.8
begin to check warehouse 25 at condition 3.3.2.12
begin to check warehouse 25 at condition 3.3.2.4
begin to check warehouse 25 at condition 3.3.2.5
begin to check warehouse 25 at condition 3.3.2.9
begin to check warehouse 25 at condition 3.3.2.10
begin to check warehouse 25 at condition 3.3.2.11
begin to check warehouse 26 at condition 3.3.2.9
begin to check warehouse 26 at condition 3.3.2.10
begin to check warehouse 26 at condition 3.3.2.11
begin to check warehouse 26 at condition 3.3.2.4
begin to check warehouse 26 at condition 3.3.2.5
begin to check warehouse 26 at condition 3.3.2.3
