89	3034
1	3033
88	3035
5	3041
125	3037
13	3035
16	3038
55	3035
54	3034
99	3030
69	3033
91	3032
4	3036
20	3034
80	3041
123	3033
11	3031
100	3038
33	3031
104	3036
87	3031
77	3041
95	3036
93	3038
10	3039
58	3036
122	3032
110	3035
115	3032
50	3035
68	3029
81	3038
21	3037
64	3037
108	3031
103	3038
17	3033
43	3034
42	3032
114	3033
63	3039
75	3031
116	3038
65	3035
56	3029
44	3041
49	3033
124	3032
119	3032
27	3034
38	3033
6	3033
62	3029
8	3036
82	3035
47	3032
111	3031
78	3036
41	3036
98	3029
36	3037
35	3036
39	3031
18	3035
60	3031
105	3033
72	3033
57	3037
40	3037
19	3038
7	3040
79	3032
48	3036
90	3028
15	3035
12	3038
84	3032
23	3033
37	3029
2	3037
101	3038
45	3037
28	3030
71	3033
94	3032
31	3037
26	3030
113	3036
67	3043
83	3037
25	3036
70	3037
96	3034
46	3034
9	3037
59	3035
106	3041
34	3033
22	3029
30	3032
127	3040
51	3033
73	3035
107	3045
117	3036
109	3031
76	3032
61	3036
118	3033
97	3031
85	3035
112	3036
52	3028
120	3035
29	3038
102	3037
53	3038
24	3036
86	3031
92	3032
3	3041
74	3029
128	3034
14	3037
121	3037
66	3037
32	3035
126	3038
