119	3031
114	3032
63	3038
21	3035
38	3033
42	3032
58	3036
10	3039
115	3032
103	3038
44	3040
64	3037
49	3033
43	3034
108	3029
50	3035
68	3029
122	3031
110	3034
116	3037
17	3033
56	3029
27	3033
124	3032
75	3031
81	3036
65	3035
128	3034
102	3037
112	3035
126	3037
97	3031
120	3035
85	3034
14	3036
29	3037
61	3036
66	3037
92	3031
32	3035
86	3029
121	3037
76	3032
52	3028
118	3033
74	3029
53	3038
24	3036
3	3041
1	3033
123	3031
93	3038
88	3035
5	3041
99	3030
91	3030
4	3034
80	3040
11	3031
33	3031
104	3035
87	3030
55	3034
54	3031
16	3036
125	3037
13	3033
89	3033
77	3041
20	3033
95	3036
100	3036
69	3033
18	3032
62	3028
82	3035
105	3032
72	3033
57	3037
19	3038
78	3035
35	3035
39	3031
6	3033
8	3035
98	3029
48	3036
40	3037
41	3036
47	3032
36	3037
111	3031
90	3028
79	3031
60	3030
7	3039
71	3033
23	3033
94	3032
73	3035
83	3036
31	3036
101	3037
45	3036
106	3041
25	3036
113	3036
30	3031
15	3035
22	3029
2	3037
9	3036
67	3043
34	3032
107	3045
70	3037
96	3033
51	3033
59	3034
46	3033
127	3038
26	3030
109	3030
84	3032
28	3029
37	3028
12	3036
117	3036
