Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月27日 	_x86_64_	(4 CPU)

21時36分03秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21時36分04秒  all   33.50    0.00   19.40    0.00    1.01    0.76    0.00    0.00    0.00   45.34
21時36分05秒  all   33.33    0.00   21.12    0.00    0.25    0.25    0.00    0.00    0.00   45.04
21時36分06秒  all   29.87    0.00   21.01    0.00    0.76    0.25    0.00    0.00    0.00   48.10
21時36分07秒  all   29.65    0.00   14.07    0.00    0.50    0.50    0.00    0.00    0.00   55.28
21時36分08秒  all   31.16    0.00   21.61    0.00    0.50    0.50    0.00    0.00    0.00   46.23
21時36分09秒  all   29.62    0.00   22.53    0.00    0.51    0.25    0.00    0.00    0.00   47.09
21時36分10秒  all   30.30    0.00   13.64    0.00    0.51    0.51    0.00    0.00    0.00   55.05
21時36分11秒  all   29.75    0.00   22.00    0.00    0.75    0.25    0.00    0.00    0.00   47.25
21時36分12秒  all   32.23    0.00   21.74    0.00    0.26    0.51    0.00    0.00    0.00   45.27
21時36分13秒  all   26.12    0.00   15.42    0.00    0.75    0.25    0.00    0.00    0.00   57.46
21時36分14秒  all   31.63    0.00   22.45    0.00    0.26    0.51    0.00    0.00    0.00   45.15
21時36分15秒  all   30.05    0.00   21.21    0.00    1.01    0.51    0.00    0.00    0.00   47.22
21時36分16秒  all   26.38    0.00    9.05    0.00    0.00    0.25    0.00    0.00    0.00   64.32
21時36分17秒  all   31.22    0.00   21.83    0.00    1.02    0.25    0.00    0.00    0.00   45.69
21時36分18秒  all   29.95    0.00   21.57    0.00    0.25    0.76    0.00    0.00    0.00   47.46
21時36分19秒  all   30.96    0.00   18.53    0.00    0.76    0.00    0.00    0.00    0.00   49.75
21時36分20秒  all   30.23    0.00   11.59    0.00    0.25    0.76    0.00    0.00    0.00   57.18
21時36分21秒  all   30.05    0.00   21.72    0.00    0.76    0.25    0.00    0.00    0.00   47.22
21時36分22秒  all   32.74    0.00   22.08    0.00    0.25    0.00    0.00    0.00    0.00   44.92
21時36分23秒  all   26.38    0.00    8.79    0.00    0.75    0.50    0.00    0.00    0.00   63.57
21時36分24秒  all   31.31    0.00   18.43    0.00    0.25    0.76    0.00    0.00    0.00   49.24
21時36分25秒  all   29.72    0.00   21.41    0.00    0.76    0.25    0.00    0.00    0.00   47.86
21時36分26秒  all   31.66    0.00   22.11    0.00    0.50    0.75    0.00    0.00    0.00   44.97
21時36分27秒  all   25.69    0.00    9.07    0.00    0.76    0.00    0.00    0.00    0.00   64.48
21時36分28秒  all   26.70    0.00   10.58    0.00    0.25    0.25    0.00    0.00    0.00   62.22
21時36分29秒  all   28.68    0.00   12.44    0.00    0.76    0.00    0.00    0.00    0.00   58.12
21時36分30秒  all   23.43    0.00    5.79    0.00    0.25    1.01    0.00    0.00    0.00   69.52
21時36分31秒  all   23.00    0.00    5.50    0.00    0.75    0.75    0.00    0.00    0.00   70.00
21時36分32秒  all   21.46    0.00    5.81    0.00    0.51    0.25    0.00    0.00    0.00   71.97
21時36分33秒  all   23.63    0.00    6.22    0.00    0.50    0.75    0.00    0.00    0.00   68.91
21時36分34秒  all   25.38    0.00    5.78    0.00    0.75    0.75    0.00    0.00    0.00   67.34
21時36分35秒  all   23.43    0.00    5.54    0.00    0.50    0.76    0.00    0.00    0.00   69.77
21時36分36秒  all   25.63    0.00    7.04    0.00    0.75    0.25    0.00    0.00    0.00   66.33
21時36分37秒  all   19.44    0.00    5.56    0.00    0.25    0.51    0.00    0.00    0.00   74.24
21時36分38秒  all   24.62    0.00    5.03    0.00    0.75    0.50    0.00    0.00    0.00   69.10
21時36分39秒  all   19.75    0.00    6.25    0.00    0.75    0.75    0.00    0.00    0.00   72.50
21時36分40秒  all   24.00    0.00    5.50    0.00    0.25    0.50    0.00    0.00    0.00   69.75
21時36分41秒  all   22.98    0.00    5.05    0.00    0.76    0.51    0.00    0.00    0.00   70.71
21時36分42秒  all   22.28    0.00    5.82    0.00    0.51    0.51    0.00    0.00    0.00   70.89
21時36分43秒  all   26.00    0.00    6.75    0.00    0.50    0.50    0.00    0.00    0.00   66.25
21時36分44秒  all   20.91    0.00    5.79    0.00    0.50    1.01    0.00    0.00    0.00   71.79
