ts_ns,query_type,latency_ms
1785138401954315198,update,47.465
1785138402106945273,select,19.896
1785138402129757167,update,44.453
1785138402278579480,select,21.006
1785138402303090804,update,45.069
1785138402452711692,select,18.996
1785138402474726327,update,44.911
1785138402624008416,select,22.221
1785138402650692072,update,47.906
1785138402803441303,select,20.088
1785138402827210356,update,42.268
1785138402974044048,select,18.858
1785138402995830375,update,43.260
1785138403143797019,select,18.879
1785138403165999848,update,43.500
1785138403314388143,select,19.658
1785138403337095488,update,46.492
1785138403488267198,select,21.047
1785138403512947804,update,43.123
1785138403662006792,select,19.501
1785138403684663899,update,43.219
1785138403832244008,select,19.986
1785138403855710909,update,47.567
1785138404009242904,select,21.536
1785138404034816654,update,47.536
1785138404187557509,select,19.672
1785138404211481589,update,45.569
1785138404362168348,select,23.731
1785138404390334056,update,44.974
1785138404542353556,select,22.549
1785138404568299052,update,49.790
1785138404723625997,select,20.600
1785138404747920176,update,43.603
1785138404896597750,select,20.030
1785138404920505526,update,45.323
1785138405070614303,select,22.237
1785138405096591562,update,48.061
1785138405249761896,select,21.098
1785138405275529022,update,44.265
1785138405424255833,select,21.531
1785138405449026507,update,46.875
1785138405600792834,select,20.868
1785138405625988959,update,50.023
1785138405782906005,select,21.161
1785138405807449488,update,50.723
1785138405962930965,select,20.898
1785138405986687456,update,44.980
1785138406136203282,select,20.083
1785138406159251006,update,47.341
1785138406310958293,select,19.245
1785138406333693506,update,44.451
1785138406483970978,select,19.312
1785138406506711759,update,42.856
1785138406654362364,select,22.303
1785138406679587100,update,47.848
1785138406832564070,select,19.882
1785138406855483781,update,43.108
1785138407003440384,select,19.733
1785138407026496515,update,46.316
1785138407177448373,select,20.272
1785138407201225029,update,42.299
1785138407348412813,select,19.450
1785138407370822388,update,41.381
1785138407517602158,select,19.217
1785138407539923080,update,41.681
1785138407686749950,select,21.589
1785138407711589001,update,70.245
1785138407886570438,select,20.045
1785138407909976079,update,48.150
1785138408062847715,select,19.133
1785138408085223384,update,40.181
1785138408230419072,select,19.917
1785138408253583152,update,46.724
1785138408405507488,select,20.001
1785138408428462864,update,41.916
1785138408574977238,select,19.331
1785138408597803008,update,46.631
1785138408749119032,select,18.535
1785138408770975889,update,44.182
1785138408919631663,select,20.436
1785138408943067327,update,43.220
1785138409091457493,select,20.847
1785138409116399494,update,43.925
1785138409265277877,select,20.377
1785138409288739463,update,42.148
1785138409435701027,select,18.550
1785138409457752014,update,45.991
1785138409609181374,select,21.350
1785138409634183432,update,51.229
1785138409790881220,select,20.164
1785138409814857055,update,45.929
1785138409965387901,select,23.488
1785138409992326382,update,45.956
1785138410143661347,select,22.842
1785138410169744634,update,48.292
1785138410322671208,select,22.201
1785138410348079011,update,51.385
1785138410504267140,select,20.420
1785138410528836803,update,55.431
1785138410689424985,select,24.964
1785138410719074893,update,55.241
1785138410879466529,select,22.328
1785138410905323317,update,50.382
1785138411061549944,select,20.012
1785138411085218536,update,48.480
1785138411238379973,select,19.770
1785138411261636593,update,47.308
1785138411413901776,select,21.206
1785138411438385743,update,46.099
1785138411588870127,select,19.319
1785138411611438497,update,48.241
1785138411766444567,select,20.769
1785138411790377699,update,44.947
1785138411941292795,select,19.329
1785138411964106123,update,46.715
1785138412116041438,select,19.519
1785138412138623965,update,48.675
1785138412291920746,select,22.158
1785138412318091446,update,54.768
1785138412477565876,select,22.385
1785138412503884584,update,47.098
1785138412655324699,select,20.249
1785138412679303205,update,49.302
1785138412833552591,select,19.706
1785138412856810527,update,70.503
1785138413032362529,select,21.556
1785138413057074532,update,43.576
1785138413205492491,select,20.402
1785138413229147024,update,42.875
1785138413376531222,select,19.641
1785138413400039442,update,42.435
1785138413547635973,select,24.494
1785138413575687882,update,47.664
1785138413729734479,select,20.286
1785138413753815635,update,43.809
1785138413902665071,select,21.606
1785138413928116252,update,47.100
1785138414081274119,select,20.732
1785138414105471660,update,46.810
1785138414257153926,select,22.383
1785138414283190624,update,49.446
1785138414439511763,select,21.189
