2026/05/18 16:54:43 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 7.6, Count: 104, TPM: 816.4, Sum(ms): 156570.2, Avg(ms): 1507.1, 50th(ms): 2147.5, 90th(ms): 2684.4, 95th(ms): 2952.8, 99th(ms): 3221.2, 99.9th(ms): 3221.2, Max(ms): 3221.2
[Current] NEW_ORDER - Takes(s): 9.6, Count: 1229, TPM: 7699.8, Sum(ms): 102079.7, Avg(ms): 83.2, 50th(ms): 67.1, 90th(ms): 167.8, 95th(ms): 201.3, 99th(ms): 318.8, 99.9th(ms): 369.1, Max(ms): 436.2
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 93, TPM: 591.8, Sum(ms): 42535.6, Avg(ms): 457.0, 50th(ms): 30.4, 90th(ms): 2147.5, 95th(ms): 2415.9, 99th(ms): 3087.0, 99.9th(ms): 5368.7, Max(ms): 5368.7
[Current] PAYMENT - Takes(s): 9.6, Count: 1069, TPM: 6658.9, Sum(ms): 46976.5, Avg(ms): 43.9, 50th(ms): 30.4, 90th(ms): 71.3, 95th(ms): 113.2, 99th(ms): 218.1, 99.9th(ms): 1543.5, Max(ms): 2080.4
[Current] STOCK_LEVEL - Takes(s): 7.8, Count: 78, TPM: 596.5, Sum(ms): 205208.2, Avg(ms): 2634.6, 50th(ms): 2818.6, 90th(ms): 3221.2, 95th(ms): 3355.4, 99th(ms): 3355.4, 99.9th(ms): 5100.3, Max(ms): 5100.3
[Current] DELIVERY - Takes(s): 9.9, Count: 156, TPM: 943.2, Sum(ms): 128623.3, Avg(ms): 824.7, 50th(ms): 218.1, 90th(ms): 2147.5, 95th(ms): 2281.7, 99th(ms): 2415.9, 99.9th(ms): 4831.8, Max(ms): 4831.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1595, TPM: 9575.4, Sum(ms): 128735.3, Avg(ms): 80.7, 50th(ms): 79.7, 90th(ms): 109.1, 95th(ms): 125.8, 99th(ms): 167.8, 99.9th(ms): 218.1, Max(ms): 243.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 121, TPM: 730.1, Sum(ms): 62477.1, Avg(ms): 515.8, 50th(ms): 39.8, 90th(ms): 1879.0, 95th(ms): 2281.7, 99th(ms): 3087.0, 99.9th(ms): 3221.2, Max(ms): 3221.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1593, TPM: 9558.0, Sum(ms): 93417.9, Avg(ms): 58.7, 50th(ms): 41.9, 90th(ms): 65.0, 95th(ms): 83.9, 99th(ms): 604.0, 99.9th(ms): 1744.8, Max(ms): 2281.7
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 132, TPM: 792.3, Sum(ms): 248843.9, Avg(ms): 1882.1, 50th(ms): 1879.0, 90th(ms): 2415.9, 95th(ms): 2550.1, 99th(ms): 3355.4, 99.9th(ms): 3623.9, Max(ms): 3623.9
[Current] DELIVERY - Takes(s): 9.9, Count: 186, TPM: 1121.9, Sum(ms): 69017.3, Avg(ms): 371.5, 50th(ms): 285.2, 90th(ms): 570.4, 95th(ms): 1040.2, 99th(ms): 1744.8, 99.9th(ms): 1879.0, Max(ms): 1879.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1812, TPM: 10882.1, Sum(ms): 209667.4, Avg(ms): 115.7, 50th(ms): 109.1, 90th(ms): 167.8, 95th(ms): 192.9, 99th(ms): 251.7, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 161, TPM: 970.3, Sum(ms): 55666.0, Avg(ms): 345.5, 50th(ms): 75.5, 90th(ms): 872.4, 95th(ms): 1342.2, 99th(ms): 1811.9, 99.9th(ms): 3221.2, Max(ms): 3221.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1765, TPM: 10594.8, Sum(ms): 163433.9, Avg(ms): 92.6, 50th(ms): 62.9, 90th(ms): 117.4, 95th(ms): 192.9, 99th(ms): 872.4, 99.9th(ms): 1342.2, Max(ms): 1677.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 182, TPM: 1098.8, Sum(ms): 167238.5, Avg(ms): 920.0, 50th(ms): 906.0, 90th(ms): 1610.6, 95th(ms): 1879.0, 99th(ms): 3489.7, 99.9th(ms): 3489.7, Max(ms): 3489.7
[Current] DELIVERY - Takes(s): 10.0, Count: 194, TPM: 1168.9, Sum(ms): 69837.5, Avg(ms): 360.2, 50th(ms): 335.5, 90th(ms): 453.0, 95th(ms): 536.9, 99th(ms): 1040.2, 99.9th(ms): 1610.6, Max(ms): 1610.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2078, TPM: 12481.1, Sum(ms): 275409.7, Avg(ms): 132.7, 50th(ms): 130.0, 90th(ms): 176.2, 95th(ms): 201.3, 99th(ms): 268.4, 99.9th(ms): 637.5, Max(ms): 738.2
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 191, TPM: 1146.0, Sum(ms): 32976.4, Avg(ms): 172.8, 50th(ms): 67.1, 90th(ms): 503.3, 95th(ms): 604.0, 99th(ms): 1275.1, 99.9th(ms): 1744.8, Max(ms): 1744.8
[Current] PAYMENT - Takes(s): 10.0, Count: 2023, TPM: 12144.4, Sum(ms): 178405.7, Avg(ms): 88.2, 50th(ms): 75.5, 90th(ms): 125.8, 95th(ms): 159.4, 99th(ms): 469.8, 99.9th(ms): 704.6, Max(ms): 738.2
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 236, TPM: 1428.3, Sum(ms): 89377.4, Avg(ms): 378.5, 50th(ms): 369.1, 90th(ms): 738.2, 95th(ms): 906.0, 99th(ms): 1140.9, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] DELIVERY - Takes(s): 10.0, Count: 186, TPM: 1119.4, Sum(ms): 70561.0, Avg(ms): 379.5, 50th(ms): 369.1, 90th(ms): 469.8, 95th(ms): 536.9, 99th(ms): 637.5, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2290, TPM: 13742.9, Sum(ms): 342664.3, Avg(ms): 149.8, 50th(ms): 151.0, 90th(ms): 201.3, 95th(ms): 226.5, 99th(ms): 260.0, 99.9th(ms): 335.5, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 190, TPM: 1143.9, Sum(ms): 12453.9, Avg(ms): 65.5, 50th(ms): 62.9, 90th(ms): 96.5, 95th(ms): 104.9, 99th(ms): 125.8, 99.9th(ms): 192.9, Max(ms): 192.9
[Current] PAYMENT - Takes(s): 10.0, Count: 2065, TPM: 12391.9, Sum(ms): 190861.8, Avg(ms): 92.4, 50th(ms): 88.1, 90th(ms): 130.0, 95th(ms): 159.4, 99th(ms): 209.7, 99.9th(ms): 318.8, Max(ms): 419.4
