o_w_id	max
1	3013
2	3010
3	3008
4	3010
5	3011
6	3011
7	3012
8	3011
9	3006
10	3010
11	3012
12	3012
13	3013
14	3012
15	3012
16	3011
17	3009
18	3013
19	3012
20	3011
21	3010
22	3010
23	3011
24	3012
25	3013
26	3011
27	3008
28	3011
29	3011
30	3014
31	3012
32	3010
33	3012
34	3008
35	3011
36	3010
37	3011
38	3013
39	3017
40	3014
41	3011
42	3012
43	3012
44	3015
45	3014
46	3011
47	3013
48	3008
49	3010
50	3008
51	3010
52	3012
53	3010
54	3008
55	3011
56	3015
57	3010
58	3010
59	3011
60	3011
61	3009
62	3009
63	3011
64	3011
65	3009
66	3009
67	3014
68	3012
69	3011
70	3011
71	3013
72	3011
73	3011
74	3010
75	3012
76	3010
77	3011
78	3013
79	3013
80	3011
81	3009
82	3010
83	3012
84	3012
85	3012
86	3009
87	3011
88	3012
89	3012
90	3011
91	3011
92	3008
93	3012
94	3010
95	3012
96	3010
97	3011
98	3011
99	3009
100	3010
101	3011
102	3015
103	3013
104	3010
105	3010
106	3014
107	3013
108	3012
109	3011
110	3012
111	3011
112	3014
113	3013
114	3010
115	3010
116	3008
117	3012
118	3013
119	3010
120	3012
121	3011
122	3011
123	3011
124	3010
125	3010
126	3011
127	3010
128	3009
NOTICE: No license is installed. Throttling will begin after 2026-08-15 11:59:59 +0000 UTC unless a license is installed before then.
