100	3059
104	3058
99	3055
125	3059
91	3060
77	3058
20	3056
54	3053
123	3058
88	3059
33	3055
69	3057
4	3062
55	3061
89	3056
80	3061
13	3055
87	3051
16	3061
95	3063
11	3052
1	3055
93	3055
5	3056
56	3055
43	3054
64	3063
103	3059
38	3056
68	3055
50	3054
10	3059
65	3061
81	3054
21	3063
124	3054
27	3056
49	3053
108	3057
42	3058
122	3056
115	3054
119	3053
114	3057
58	3054
44	3055
63	3058
17	3056
110	3055
116	3060
75	3051
62	3053
8	3053
60	3056
111	3059
98	3053
105	3058
57	3057
41	3056
79	3051
72	3055
40	3064
19	3052
90	3054
39	3059
18	3055
6	3055
82	3062
47	3057
48	3057
36	3062
7	3069
78	3056
35	3062
102	3057
112	3057
61	3058
3	3058
74	3051
126	3059
128	3056
52	3046
118	3051
85	3053
29	3061
86	3054
120	3059
14	3061
24	3051
53	3060
121	3060
76	3050
66	3059
97	3052
92	3056
32	3058
101	3062
2	3058
71	3047
84	3056
51	3055
25	3057
96	3054
30	3059
15	3059
73	3052
67	3068
9	3056
94	3053
34	3055
59	3048
22	3052
26	3057
107	3062
31	3062
109	3049
46	3052
83	3060
23	3053
113	3053
106	3061
117	3055
28	3054
127	3057
37	3048
70	3063
45	3062
12	3058
