subnet	ip	hostname	description	status
172.30.32.0	172.30.32.1	Fortigate-Gateway	-	registered
172.30.32.0	172.30.32.2	NET保留	-	registered
172.30.32.0	172.30.32.3	NET保留	-	registered
172.30.32.0	172.30.32.4	NET保留	-	registered
172.30.32.0	172.30.32.5	NET保留	-	registered
172.30.32.0	172.30.32.6	NET保留	-	registered
172.30.32.0	172.30.32.7	NET保留	-	registered
172.30.32.0	172.30.32.8	PROD-A10EX	V20-active-ip	registered
172.30.32.0	172.30.32.9	PROD-A10EX	V20-stanbdy-ip	registered
172.30.32.0	172.30.32.10	PROD-A10EX	V20-floating-ip	registered
172.30.32.0	172.30.32.11	NET保留	-	registered
172.30.32.0	172.30.32.12	NET保留	-	registered
172.30.32.0	172.30.32.13	NET保留	-	registered
172.30.32.0	172.30.32.14	NET保留	-	registered
172.30.32.0	172.30.32.15	IDC-A10DB介面腳IP	-	registered
172.30.32.0	172.30.32.16	IDC-A10DB介面腳IP	-	registered
172.30.32.0	172.30.32.17	IDC-A10DB介面腳floating-ip	-	registered
172.30.32.0	172.30.32.226	SIP_Tracker	-	registered
172.30.32.0	172.30.32.18	-	-	unused
172.30.32.0	172.30.32.19	-	-	unused
172.30.32.0	172.30.32.20	-	-	unused
172.30.32.0	172.30.32.21	-	-	unused
172.30.32.0	172.30.32.22	-	-	unused
172.30.32.0	172.30.32.23	-	-	unused
172.30.32.0	172.30.32.24	-	-	unused
172.30.32.0	172.30.32.25	-	-	unused
172.30.32.0	172.30.32.26	-	-	unused
172.30.32.0	172.30.32.27	-	-	unused
172.30.32.0	172.30.32.28	-	-	unused
172.30.32.0	172.30.32.29	-	-	unused
172.30.32.0	172.30.32.30	-	-	unused
172.30.32.0	172.30.32.31	-	-	unused
172.30.32.0	172.30.32.32	-	-	unused
172.30.32.0	172.30.32.33	-	-	unused
172.30.32.0	172.30.32.34	-	-	unused
172.30.32.0	172.30.32.35	-	-	unused
172.30.32.0	172.30.32.36	-	-	unused
172.30.32.0	172.30.32.37	-	-	unused
172.30.32.0	172.30.32.38	-	-	unused
172.30.32.0	172.30.32.39	-	-	unused
172.30.32.0	172.30.32.40	-	-	unused
172.30.32.0	172.30.32.41	-	-	unused
