subnet	subnet_id	registered	unused	total
172.21.32.0	532	6	248	254
172.21.33.0	533	1	253	254
172.21.34.0	536	25	229	254
172.21.35.0	537	59	195	254
172.21.36.0	538	12	242	254
172.21.37.0	539	10	244	254
172.21.38.0	540	0	254	254
172.21.39.0	541	34	220	254
172.21.40.0	256	10	244	254
172.21.41.0	542	1	253	254
172.21.42.0	544	0	254	254
172.21.43.0	545	5	249	254
172.21.44.0	546	0	254	254
172.21.45.0	547	0	254	254
172.21.46.0	548	0	254	254
172.21.47.0	197	46	208	254
