subnet	subnet_id	registered	unused	total
172.30.32.0	374	18	236	254
172.30.33.0	375	36	218	254
172.30.34.0	476	61	193	254
172.30.35.0	477	65	189	254
172.30.36.0	478	62	192	254
172.30.37.0	479	48	206	254
172.30.38.0	480	28	226	254
172.30.39.0	481	82	172	254
172.30.40.0	228	11	243	254
172.30.41.0	482	64	190	254
172.30.42.0	483	0	254	254
172.30.43.0	484	8	246	254
172.30.44.0	485	2	252	254
172.30.45.0	486	9	245	254
172.30.46.0	376	0	254	254
172.30.47.0	487	23	231	254
