subnet	ip	hostname	description	status
172.21.32.0	172.21.32.147	-	-	unused
172.21.32.0	172.21.32.148	-	-	unused
172.21.32.0	172.21.32.149	-	-	unused
172.21.32.0	172.21.32.150	-	-	unused
172.21.32.0	172.21.32.151	-	-	unused
172.21.32.0	172.21.32.152	-	-	unused
172.21.32.0	172.21.32.153	-	-	unused
172.21.32.0	172.21.32.154	-	-	unused
172.21.32.0	172.21.32.155	-	-	unused
172.21.32.0	172.21.32.156	-	-	unused
172.21.32.0	172.21.32.157	-	-	unused
172.21.32.0	172.21.32.158	-	-	unused
172.21.32.0	172.21.32.159	-	-	unused
172.21.32.0	172.21.32.160	-	-	unused
172.21.32.0	172.21.32.161	-	-	unused
172.21.32.0	172.21.32.162	-	-	unused
172.21.32.0	172.21.32.163	-	-	unused
172.21.32.0	172.21.32.164	-	-	unused
172.21.32.0	172.21.32.165	-	-	unused
172.21.32.0	172.21.32.166	-	-	unused
172.21.32.0	172.21.32.167	-	-	unused
172.21.32.0	172.21.32.168	-	-	unused
172.21.32.0	172.21.32.169	-	-	unused
172.21.32.0	172.21.32.170	-	-	unused
172.21.32.0	172.21.32.171	-	-	unused
172.21.32.0	172.21.32.172	-	-	unused
172.21.32.0	172.21.32.173	-	-	unused
172.21.32.0	172.21.32.174	-	-	unused
172.21.32.0	172.21.32.175	-	-	unused
172.21.32.0	172.21.32.176	-	-	unused
172.21.32.0	172.21.32.177	-	-	unused
172.21.32.0	172.21.32.178	-	-	unused
172.21.32.0	172.21.32.179	-	-	unused
172.21.32.0	172.21.32.180	-	-	unused
172.21.32.0	172.21.32.181	-	-	unused
172.21.32.0	172.21.32.182	-	-	unused
172.21.32.0	172.21.32.183	-	-	unused
172.21.32.0	172.21.32.184	-	-	unused
172.21.32.0	172.21.32.185	-	-	unused
172.21.32.0	172.21.32.186	-	-	unused
172.21.32.0	172.21.32.187	-	-	unused
172.21.32.0	172.21.32.188	-	-	unused
172.21.32.0	172.21.32.189	-	-	unused
172.21.32.0	172.21.32.190	-	-	unused
172.21.32.0	172.21.32.191	-	-	unused
172.21.32.0	172.21.32.192	-	-	unused
172.21.32.0	172.21.32.193	-	-	unused
172.21.32.0	172.21.32.194	-	-	unused
172.21.32.0	172.21.32.195	-	-	unused
172.21.32.0	172.21.32.196	-	-	unused
172.21.32.0	172.21.32.197	-	-	unused
172.21.32.0	172.21.32.198	-	-	unused
172.21.32.0	172.21.32.199	-	-	unused
172.21.32.0	172.21.32.200	-	-	unused
172.21.32.0	172.21.32.201	-	-	unused
172.21.32.0	172.21.32.202	-	-	unused
172.21.32.0	172.21.32.203	-	-	unused
172.21.32.0	172.21.32.204	-	-	unused
172.21.32.0	172.21.32.205	-	-	unused
172.21.32.0	172.21.32.206	-	-	unused
172.21.32.0	172.21.32.207	-	-	unused
172.21.32.0	172.21.32.208	-	-	unused
172.21.32.0	172.21.32.209	-	-	unused
172.21.32.0	172.21.32.210	-	-	unused
172.21.32.0	172.21.32.211	-	-	unused
172.21.32.0	172.21.32.212	-	-	unused
172.21.32.0	172.21.32.213	-	-	unused
172.21.32.0	172.21.32.214	-	-	unused
172.21.32.0	172.21.32.215	-	-	unused
172.21.32.0	172.21.32.216	-	-	unused
172.21.32.0	172.21.32.217	-	-	unused
172.21.32.0	172.21.32.218	-	-	unused
172.21.32.0	172.21.32.219	-	-	unused
172.21.32.0	172.21.32.220	-	-	unused
172.21.32.0	172.21.32.221	-	-	unused
172.21.32.0	172.21.32.222	-	-	unused
172.21.32.0	172.21.32.223	-	-	unused
172.21.32.0	172.21.32.224	-	-	unused
172.21.32.0	172.21.32.225	-	-	unused
172.21.32.0	172.21.32.226	-	-	unused
172.21.32.0	172.21.32.229	-	-	unused
172.21.32.0	172.21.32.230	-	-	unused
172.21.32.0	172.21.32.231	-	-	unused
172.21.32.0	172.21.32.232	-	-	unused
172.21.32.0	172.21.32.233	-	-	unused
172.21.32.0	172.21.32.234	-	-	unused
172.21.32.0	172.21.32.235	-	-	unused
172.21.32.0	172.21.32.236	-	-	unused
172.21.32.0	172.21.32.237	-	-	unused
172.21.32.0	172.21.32.238	-	-	unused
172.21.32.0	172.21.32.239	-	-	unused
172.21.32.0	172.21.32.240	-	-	unused
172.21.32.0	172.21.32.242	-	-	unused
172.21.32.0	172.21.32.243	-	-	unused
172.21.32.0	172.21.32.244	-	-	unused
172.21.32.0	172.21.32.245	-	-	unused
172.21.32.0	172.21.32.246	-	-	unused
172.21.32.0	172.21.32.247	-	-	unused
172.21.32.0	172.21.32.248	-	-	unused
172.21.32.0	172.21.32.249	-	-	unused
172.21.32.0	172.21.32.253	-	-	unused
172.21.32.0	172.21.32.254	-	-	unused
172.21.33.0	172.21.33.30	awx_rdb-sentinel-dsr.104-staging.com.tw	-	registered
172.21.33.0	172.21.33.1	-	-	unused
172.21.33.0	172.21.33.2	-	-	unused
172.21.33.0	172.21.33.3	-	-	unused
172.21.33.0	172.21.33.4	-	-	unused
172.21.33.0	172.21.33.5	-	-	unused
172.21.33.0	172.21.33.6	-	-	unused
172.21.33.0	172.21.33.7	-	-	unused
172.21.33.0	172.21.33.8	-	-	unused
172.21.33.0	172.21.33.9	-	-	unused
172.21.33.0	172.21.33.10	-	-	unused
172.21.33.0	172.21.33.11	-	-	unused
172.21.33.0	172.21.33.12	-	-	unused
172.21.33.0	172.21.33.13	-	-	unused
172.21.33.0	172.21.33.14	-	-	unused
172.21.33.0	172.21.33.15	-	-	unused
172.21.33.0	172.21.33.16	-	-	unused
172.21.33.0	172.21.33.17	-	-	unused
172.21.33.0	172.21.33.18	-	-	unused
172.21.33.0	172.21.33.19	-	-	unused
172.21.33.0	172.21.33.20	-	-	unused
172.21.33.0	172.21.33.21	-	-	unused
172.21.33.0	172.21.33.22	-	-	unused
172.21.33.0	172.21.33.23	-	-	unused
172.21.33.0	172.21.33.24	-	-	unused
172.21.33.0	172.21.33.25	-	-	unused
172.21.33.0	172.21.33.26	-	-	unused
172.21.33.0	172.21.33.27	-	-	unused
172.21.33.0	172.21.33.28	-	-	unused
172.21.33.0	172.21.33.29	-	-	unused
172.21.33.0	172.21.33.31	-	-	unused
172.21.33.0	172.21.33.32	-	-	unused
172.21.33.0	172.21.33.33	-	-	unused
172.21.33.0	172.21.33.34	-	-	unused
172.21.33.0	172.21.33.35	-	-	unused
172.21.33.0	172.21.33.36	-	-	unused
172.21.33.0	172.21.33.37	-	-	unused
172.21.33.0	172.21.33.38	-	-	unused
172.21.33.0	172.21.33.39	-	-	unused
172.21.33.0	172.21.33.40	-	-	unused
172.21.33.0	172.21.33.41	-	-	unused
172.21.33.0	172.21.33.42	-	-	unused
172.21.33.0	172.21.33.43	-	-	unused
172.21.33.0	172.21.33.44	-	-	unused
172.21.33.0	172.21.33.45	-	-	unused
172.21.33.0	172.21.33.46	-	-	unused
172.21.33.0	172.21.33.47	-	-	unused
172.21.33.0	172.21.33.48	-	-	unused
172.21.33.0	172.21.33.49	-	-	unused
