o_w_id	max
1	3004
2	3004
3	3006
4	3006
5	3005
6	3005
7	3007
8	3006
9	3005
10	3008
11	3004
12	3007
13	3011
14	3006
15	3004
16	3008
17	3008
18	3004
19	3006
20	3005
21	3005
22	3006
23	3006
24	3008
25	3004
26	3005
27	3005
28	3010
29	3005
30	3004
31	3006
32	3006
33	3008
34	3008
35	3005
36	3004
37	3005
38	3004
39	3005
40	3005
41	3004
42	3004
43	3006
44	3005
45	3006
46	3007
47	3006
48	3007
49	3006
50	3006
51	3004
52	3005
53	3005
54	3005
55	3005
56	3007
57	3005
58	3007
59	3007
60	3005
61	3004
62	3004
63	3004
64	3003
65	3006
66	3004
67	3009
68	3006
69	3005
70	3006
71	3005
72	3008
73	3004
74	3005
75	3006
76	3003
77	3005
78	3009
79	3005
80	3006
81	3007
82	3005
83	3005
84	3008
85	3006
86	3005
87	3005
88	3006
89	3008
90	3006
91	3005
92	3006
93	3006
94	3006
95	3004
96	3005
97	3007
98	3007
99	3006
100	3005
101	3007
102	3008
103	3006
104	3008
105	3008
106	3006
107	3004
108	3004
109	3005
110	3006
111	3005
112	3003
113	3005
114	3007
115	3006
116	3007
117	3006
118	3004
119	3006
120	3005
121	3005
122	3005
123	3005
124	3005
125	3005
126	3005
127	3005
128	3005
